genes,log2FoldChange
Ala_4212,NA
Ala_4213,NA
Ala_4215,NA
Ala_4216,NA
Ala_4218,NA
Ala_4219,NA
Ala_4221,NA
Ala_4222,NA
Ala_4238,NA
Ala_4239,NA
Ala_4240,NA
Ala_4241,NA
Ala_4242,NA
Ala_4243,NA
Ala_4258,NA
Ala_4262,NA
Ala_4265,NA
Ala_434,NA
Ala_4415,NA
Ala_4416,NA
Ala_4417,NA
Ala_4420,NA
Ala_4509,NA
Ala_4510,NA
Ala_4511,0.454923170920216
Ala_4526,NA
Ala_4527,NA
Ala_4528,NA
Ala_4529,NA
Ala_4530,NA
Ala_4531,NA
Ala_4532,NA
Ala_4533,NA
Ala_4534,NA
Ala_4535,NA
Ala_4536,NA
Ala_4537,NA
Ala_4546,NA
Ala_4547,NA
Ala_4548,NA
Ala_4550,NA
Ala_4557,NA
Ala_4559,NA
Ala_4563,NA
Ala_4564,NA
Ala_4565,NA
Ala_4567,NA
Ala_4568,NA
Ala_4571,NA
Ala_4572,NA
Ala_4573,NA
Ala_4574,NA
Ala_4576,NA
Ala_4578,NA
Ala_4593,NA
Ala_4594,1.22778659410997
Ala_4597,NA
Ala_4652,NA
Ala_4653,NA
Ala_527,NA
Ala_573,NA
Ala_61,NA
Ala_62,NA
Ala_63,NA
Ala_736,NA
Ala_833,NA
Ala_91,NA
Ala_915,NA
Ala_92,NA
Ala_93,NA
Ala_94,NA
Ala_95,NA
Ala_96,NA
Ala_996,NA
Arg_1309,NA
Arg_1310,NA
Arg_1347,NA
Arg_1348,NA
Arg_141,NA
Arg_1473,NA
Arg_1580,NA
Arg_1629,NA
Arg_2027,NA
Arg_2030,NA
Arg_2303,NA
Arg_2385,NA
Arg_2471,NA
Arg_2688,NA
Arg_347,NA
Arg_348,NA
Arg_349,NA
Arg_350,NA
Arg_351,NA
Arg_352,NA
Arg_353,NA
Arg_354,NA
Arg_355,NA
Arg_356,NA
Arg_357,NA
Arg_364,NA
Arg_3932,NA
Arg_4544,NA
Arg_455,NA
Arg_459,NA
Arg_460,NA
Arg_521,NA
Arg_522,NA
Arg_59,NA
Asn_1215,NA
Asn_1220,NA
Asn_1327,NA
Asn_1328,NA
Asn_1330,NA
Asn_1335,NA
Asn_1578,NA
Asn_1616,NA
Asn_1685,NA
Asn_1943,NA
Asn_1947,NA
Asn_2094,NA
Asn_2217,NA
Asn_2675,0.454923170920216
Asn_3075,NA
Asn_3130,NA
Asn_3307,NA
Asn_3412,1.29960133831365
Asn_3748,NA
Asn_3795,NA
Asn_4198,NA
Asn_4203,NA
Asn_4208,NA
Asn_4520,NA
Asn_4521,NA
Asn_4560,NA
Asn_4579,NA
Asn_4582,NA
Asn_4590,NA
Asn_891,NA
Asn_903,NA
Asn_926,NA
Asn_929,NA
Asn_935,NA
Asp_1019,NA
Asp_1022,0.454923170920216
Asp_1190,NA
Asp_1303,1.62088884453356
Asp_1308,NA
Asp_1361,NA
Asp_1362,NA
Asp_1363,NA
Asp_1364,NA
Asp_1365,NA
Asp_1435,NA
Asp_1436,NA
Asp_1437,NA
Asp_1495,NA
Asp_1530,NA
Asp_159,NA
Asp_1697,NA
Asp_1850,NA
Asp_1888,NA
Asp_2110,NA
Asp_2297,NA
Asp_2308,NA
Asp_2310,NA
Asp_2432,NA
Asp_2561,1.22778659410997
Asp_2768,NA
Asp_309,NA
Asp_3324,NA
Asp_3687,NA
Asp_3797,NA
Asp_3874,1.22778659410997
Asp_3893,NA
Asp_3894,NA
Asp_4296,NA
Asp_4380,0.867117847397457
Asp_4471,NA
Asp_537,NA
Asp_640,NA
Asp_641,NA
Asp_642,NA
Asp_932,NA
Cys_1109,NA
Cys_124,NA
Cys_2326,NA
Cys_2343,NA
Cys_2347,NA
Cys_2363,NA
Cys_425,0.454923170920216
Cys_761,NA
Cys_781,NA
evm.TU.Ap1.1,-0.379780580528589
evm.TU.Ap1.10,0.575336642028896
evm.TU.Ap1.100,NA
evm.TU.Ap1.1000,-0.75108777900223
evm.TU.Ap1.1001,-0.395983740140193
evm.TU.Ap1.1002,0.454923170920216
evm.TU.Ap1.1003,0.454923170920216
evm.TU.Ap1.1004,NA
evm.TU.Ap1.1005,NA
evm.TU.Ap1.1006,-0.56753505784501
evm.TU.Ap1.1007,0.194102408123231
evm.TU.Ap1.1008,NA
evm.TU.Ap1.1009,NA
evm.TU.Ap1.101,0.0942544242077075
evm.TU.Ap1.1010,1.61602477328408
evm.TU.Ap1.1011,0.454923170920216
evm.TU.Ap1.1012,0.0942544242077069
evm.TU.Ap1.1013,NA
evm.TU.Ap1.1014,-0.180883524737631
evm.TU.Ap1.1015,-0.42475908005898
evm.TU.Ap1.1016,0.454923170920216
evm.TU.Ap1.1017,-0.940490907688255
evm.TU.Ap1.1018,0.199243282133207
evm.TU.Ap1.1019,-0.233076476081732
evm.TU.Ap1.102,0.867117847397457
evm.TU.Ap1.1020,0.832972336284474
evm.TU.Ap1.1021,1.5894388750702
evm.TU.Ap1.1022,-1.2863480117175
evm.TU.Ap1.1023,-0.464527072372981
evm.TU.Ap1.1024,NA
evm.TU.Ap1.1025,-0.619572224481509
evm.TU.Ap1.1026,0.120311831021255
evm.TU.Ap1.1027,0.339518999350643
evm.TU.Ap1.1028,-0.787939825851038
evm.TU.Ap1.1029,0.0942544242077072
evm.TU.Ap1.103,0.454923170920216
evm.TU.Ap1.1030,0.0942544242077072
evm.TU.Ap1.1031,NA
evm.TU.Ap1.1032,0.867117847397456
evm.TU.Ap1.1033,-0.33792002570416
evm.TU.Ap1.1034,0.751351709121498
evm.TU.Ap1.1035,1.64668338278252
evm.TU.Ap1.1036,0.695439321857834
evm.TU.Ap1.1037,NA
evm.TU.Ap1.1038,0.454923170920216
evm.TU.Ap1.1039,1.23011918866168
evm.TU.Ap1.104,NA
evm.TU.Ap1.1040_evm.TU.Ap1.1041,1.1725672222305
evm.TU.Ap1.1043_evm.TU.Ap1.1042,-0.36546462833511
evm.TU.Ap1.1044,1.01990393101471
evm.TU.Ap1.1045,0.243485044081137
evm.TU.Ap1.1046,-0.48020370712007
evm.TU.Ap1.1047,-0.124264967734739
evm.TU.Ap1.1048,0.867117847397456
evm.TU.Ap1.1049,-0.912410501497825
evm.TU.Ap1.105,-1.47638364530628
evm.TU.Ap1.1050,4.56785874403892
evm.TU.Ap1.1051,0.881142220451364
evm.TU.Ap1.1052,1.05064023689683
evm.TU.Ap1.1053,0.454923170920216
evm.TU.Ap1.1054,-1.47117265804653
evm.TU.Ap1.1055,0.288377522971661
evm.TU.Ap1.1056,0.789425149112195
evm.TU.Ap1.1057,1.22778659410997
evm.TU.Ap1.1058,-0.0198042225975044
evm.TU.Ap1.1059,0.0368253969500867
evm.TU.Ap1.106,1.10754661477839
evm.TU.Ap1.1060,NA
evm.TU.Ap1.1061,-0.169529577465492
evm.TU.Ap1.1062,-0.602606170149906
evm.TU.Ap1.1063,0.846339591057096
evm.TU.Ap1.1064,-0.436101113313804
evm.TU.Ap1.1065,NA
evm.TU.Ap1.1066,0.279122994899213
evm.TU.Ap1.1067,-0.574346209984881
evm.TU.Ap1.1068,-0.135705081757052
evm.TU.Ap1.1069,1.1744041385504
evm.TU.Ap1.107,0.850950433166336
evm.TU.Ap1.1070,0.140611360710309
evm.TU.Ap1.1071,-0.0535062025300491
evm.TU.Ap1.1072,-0.0698333074770596
evm.TU.Ap1.1073,0.314869297109164
evm.TU.Ap1.1074,-1.00732665869204
evm.TU.Ap1.1075,-0.333981013868397
evm.TU.Ap1.1076,NA
evm.TU.Ap1.1077,-0.58727006811914
evm.TU.Ap1.1078,-1.4663069952971
evm.TU.Ap1.1079,0.172180920465124
evm.TU.Ap1.108,0.409836637704383
evm.TU.Ap1.1080,-0.708532073316598
evm.TU.Ap1.1081,NA
evm.TU.Ap1.1082,0.454923170920216
evm.TU.Ap1.1083,1.22778659410997
evm.TU.Ap1.1084,NA
evm.TU.Ap1.1085,-0.150248147980723
evm.TU.Ap1.1086,-0.179905908965504
evm.TU.Ap1.1087,-0.0528473325318276
evm.TU.Ap1.1088,NA
evm.TU.Ap1.1089,NA
evm.TU.Ap1.109,0.377200910735631
evm.TU.Ap1.1090,0.0224985750174453
evm.TU.Ap1.1091,0.292397855613125
evm.TU.Ap1.1092,-0.0286652593858918
evm.TU.Ap1.1093,-0.0175537620183093
evm.TU.Ap1.1094,0.50645201227725
evm.TU.Ap1.1095,-0.0187216818788604
evm.TU.Ap1.1096,0.0429078748185965
evm.TU.Ap1.1097,NA
evm.TU.Ap1.1098,0.454923170920216
evm.TU.Ap1.1099,-0.848961184492774
evm.TU.Ap1.11,0.454923170920216
evm.TU.Ap1.110,NA
evm.TU.Ap1.1100,0.21588003199179
evm.TU.Ap1.1101,NA
evm.TU.Ap1.1102,NA
evm.TU.Ap1.1103,-0.589964083828955
evm.TU.Ap1.1104,0.0110447025669202
evm.TU.Ap1.1105,-0.525108874679307
evm.TU.Ap1.1106,NA
evm.TU.Ap1.1107,NA
evm.TU.Ap1.1108,0.703723316568492
evm.TU.Ap1.1109,-0.32622451271995
evm.TU.Ap1.111,NA
evm.TU.Ap1.1110,-0.569521515152499
evm.TU.Ap1.1111,0.253238375575646
evm.TU.Ap1.1112,-0.428332566888971
evm.TU.Ap1.1113,-0.0374819559301071
evm.TU.Ap1.1114,-0.49116198868486
evm.TU.Ap1.1115,-0.217641082752955
evm.TU.Ap1.1116,0.136676031644751
evm.TU.Ap1.1117,-0.314404220224727
evm.TU.Ap1.1118,-1.47391253083414
evm.TU.Ap1.1119,0.504095819816999
evm.TU.Ap1.112,NA
evm.TU.Ap1.1120,0.0942544242077072
evm.TU.Ap1.1121,-1.57780196422717
evm.TU.Ap1.1122,0.0942544242077074
evm.TU.Ap1.1123,0.0758901977851959
evm.TU.Ap1.1124,0.00371043256735896
evm.TU.Ap1.1125,NA
evm.TU.Ap1.1126,NA
evm.TU.Ap1.1127,NA
evm.TU.Ap1.1128,1.43605834890302
evm.TU.Ap1.1129,NA
evm.TU.Ap1.113,NA
evm.TU.Ap1.1130,NA
evm.TU.Ap1.1131,NA
evm.TU.Ap1.1132,-0.0724930923298573
evm.TU.Ap1.1133,-0.98162730355816
evm.TU.Ap1.1134,1.28707843787447
evm.TU.Ap1.1135,1.1094957013881
evm.TU.Ap1.1136,-1.30240147656375
evm.TU.Ap1.1137,NA
evm.TU.Ap1.1138,NA
evm.TU.Ap1.1139,NA
evm.TU.Ap1.114,0.490703450326381
evm.TU.Ap1.1140,NA
evm.TU.Ap1.1141,0.071735519900818
evm.TU.Ap1.1142,-0.209616689872758
evm.TU.Ap1.1143,0.161482683116194
evm.TU.Ap1.1144,0.146818089944553
evm.TU.Ap1.1145,0.894675244985245
evm.TU.Ap1.1146,NA
evm.TU.Ap1.1147,NA
evm.TU.Ap1.1148,0.506453172571005
evm.TU.Ap1.1149,NA
evm.TU.Ap1.115,-0.799464564329308
evm.TU.Ap1.1150,NA
evm.TU.Ap1.1151,NA
evm.TU.Ap1.1152,NA
evm.TU.Ap1.1153,0.932641119051639
evm.TU.Ap1.1154,NA
evm.TU.Ap1.1155,-0.0750296271596994
evm.TU.Ap1.1156,1.22778659410997
evm.TU.Ap1.1157,0.598742605402271
evm.TU.Ap1.1158,-0.245950846076284
evm.TU.Ap1.1159,-0.307280337614135
evm.TU.Ap1.116,0.0511168883708102
evm.TU.Ap1.1160,0.374316583939602
evm.TU.Ap1.1161,0.420975824292125
evm.TU.Ap1.1162,0.153886608209852
evm.TU.Ap1.1163,-0.0552662609303334
evm.TU.Ap1.1164,0.0304065623402068
evm.TU.Ap1.1165,0.167993132793233
evm.TU.Ap1.1166,-0.398594444994694
evm.TU.Ap1.1167,1.00435254452638
evm.TU.Ap1.1168,0.266531989004077
evm.TU.Ap1.1169,NA
evm.TU.Ap1.117,0.219367707157929
evm.TU.Ap1.1170,-1.24054576481956
evm.TU.Ap1.1171,1.31028126032292
evm.TU.Ap1.1172,0.0432668027889585
evm.TU.Ap1.1173,0.230328082390072
evm.TU.Ap1.1174,2.46582089970966
evm.TU.Ap1.1175,1.22778659410997
evm.TU.Ap1.1176,0.454923170920216
evm.TU.Ap1.1177,0.146446282783396
evm.TU.Ap1.1178,NA
evm.TU.Ap1.1179,NA
evm.TU.Ap1.118,NA
evm.TU.Ap1.1180,NA
evm.TU.Ap1.1181,NA
evm.TU.Ap1.1182,NA
evm.TU.Ap1.1183,NA
evm.TU.Ap1.1184,NA
evm.TU.Ap1.1185,-0.14698974821074
evm.TU.Ap1.1186,NA
evm.TU.Ap1.1187,NA
evm.TU.Ap1.1188_evm.TU.Ap1.1190,0.0934254800022968
evm.TU.Ap1.1189,NA
evm.TU.Ap1.119,NA
evm.TU.Ap1.1191,0.553846460426928
evm.TU.Ap1.1192,-0.135708432892183
evm.TU.Ap1.1193,1.22778659410997
evm.TU.Ap1.1194,-0.0342567583141583
evm.TU.Ap1.1195,0.49843672117293
evm.TU.Ap1.1196,0.454923170920216
evm.TU.Ap1.1197,NA
evm.TU.Ap1.1198,1.26112335304364
evm.TU.Ap1.1199,1.38016591421959
evm.TU.Ap1.12,-0.0603439523900354
evm.TU.Ap1.120,-0.545529510148813
evm.TU.Ap1.1200,NA
evm.TU.Ap1.1201,NA
evm.TU.Ap1.1202,0.454923170920216
evm.TU.Ap1.1203,0.948525073036411
evm.TU.Ap1.1204,NA
evm.TU.Ap1.1205,1.26111787364642
evm.TU.Ap1.1206,NA
evm.TU.Ap1.1207,NA
evm.TU.Ap1.1208,NA
evm.TU.Ap1.1209,NA
evm.TU.Ap1.121,0.644483331483979
evm.TU.Ap1.1210,NA
evm.TU.Ap1.1211,NA
evm.TU.Ap1.1212,NA
evm.TU.Ap1.1213,NA
evm.TU.Ap1.1214,NA
evm.TU.Ap1.1215,NA
evm.TU.Ap1.1216,0.454923170920216
evm.TU.Ap1.1217,-0.271155127627075
evm.TU.Ap1.1218,0.0942544242077072
evm.TU.Ap1.1219,0.936553464213214
evm.TU.Ap1.122,NA
evm.TU.Ap1.1220,0.348491566251164
evm.TU.Ap1.1221,NA
evm.TU.Ap1.1222,NA
evm.TU.Ap1.1223,-0.0363803070701729
evm.TU.Ap1.1224,1.22778659410997
evm.TU.Ap1.1225,NA
evm.TU.Ap1.1226,NA
evm.TU.Ap1.1227,NA
evm.TU.Ap1.1228,NA
evm.TU.Ap1.1229,0.871846643448479
evm.TU.Ap1.123,-0.2985094494621
evm.TU.Ap1.1230,NA
evm.TU.Ap1.1231,-0.725957159253794
evm.TU.Ap1.1232,0.502948750301981
evm.TU.Ap1.1233,0.4691253434753
evm.TU.Ap1.1234,0.37291494427954
evm.TU.Ap1.1235,0.0942544242077074
evm.TU.Ap1.1236,NA
evm.TU.Ap1.1237,NA
evm.TU.Ap1.1238,-1.70991230633567
evm.TU.Ap1.1239,0.371529195322317
evm.TU.Ap1.124,-1.30756254860828
evm.TU.Ap1.1240,0.454923170920216
evm.TU.Ap1.1241,0.454923170920216
evm.TU.Ap1.1242,0.0942544242077072
evm.TU.Ap1.1243,0.112088194671487
evm.TU.Ap1.1244,-0.305185240346922
evm.TU.Ap1.1245,-0.407595966880735
evm.TU.Ap1.1246,-0.0135040165332249
evm.TU.Ap1.1247,-0.541586309607577
evm.TU.Ap1.1248,0.382529000540541
evm.TU.Ap1.1249,-0.739935295805166
evm.TU.Ap1.125,-0.606396677570864
evm.TU.Ap1.1250,0.141126628908217
evm.TU.Ap1.1251,0.094254424207707
evm.TU.Ap1.1252,0.30420012945087
evm.TU.Ap1.1253,-0.487284224624714
evm.TU.Ap1.1254,NA
evm.TU.Ap1.1255,-0.163056869420318
evm.TU.Ap1.1256,-0.164488130489602
evm.TU.Ap1.1257,0.324374917224656
evm.TU.Ap1.1258,0.387108880242205
evm.TU.Ap1.1259,-0.347582441554096
evm.TU.Ap1.126,-0.227759716010987
evm.TU.Ap1.1260,-0.23755080987555
evm.TU.Ap1.1261,-0.424139526989279
evm.TU.Ap1.1262,1.25213804366769
evm.TU.Ap1.1263,-1.49833100320965
evm.TU.Ap1.1264,0.224334914760717
evm.TU.Ap1.1265,0.0942544242077079
evm.TU.Ap1.1266,-0.299982726861551
evm.TU.Ap1.1267,0.310363470303617
evm.TU.Ap1.1268,-0.457707535187737
evm.TU.Ap1.1269,-0.656699527272246
evm.TU.Ap1.127,0.454923170920216
evm.TU.Ap1.1270,1.22778659410997
evm.TU.Ap1.1271,NA
evm.TU.Ap1.1272,-0.385879003455818
evm.TU.Ap1.1273,-0.381124263665954
evm.TU.Ap1.1274,0.867117847397456
evm.TU.Ap1.1275,NA
evm.TU.Ap1.1276,0.127355803302977
evm.TU.Ap1.1277,-0.242762421892956
evm.TU.Ap1.1278,0.851883190863466
evm.TU.Ap1.1279,-1.14916795205491
evm.TU.Ap1.128,4.15569905600148
evm.TU.Ap1.1280,NA
evm.TU.Ap1.1281,-0.495779073505353
evm.TU.Ap1.1282,-2.07103781225948
evm.TU.Ap1.1283,1.63076449301617
evm.TU.Ap1.1284,-0.412849943150899
evm.TU.Ap1.1285,-0.577144383822171
evm.TU.Ap1.1286,-0.271155127627075
evm.TU.Ap1.1287,NA
evm.TU.Ap1.1288,NA
evm.TU.Ap1.1289,NA
evm.TU.Ap1.129,0.909315348687451
evm.TU.Ap1.1290,NA
evm.TU.Ap1.1291,NA
evm.TU.Ap1.1292,-0.272411520311512
evm.TU.Ap1.1293,0.181447763046294
evm.TU.Ap1.1294,-1.24985275354229
evm.TU.Ap1.1295,0.15486042432014
evm.TU.Ap1.1296,-0.111499269569943
evm.TU.Ap1.1297,NA
evm.TU.Ap1.1298,-0.000213370022389579
evm.TU.Ap1.1299,-0.333172434397338
evm.TU.Ap1.13,0.362022469676616
evm.TU.Ap1.130,0.894837701379989
evm.TU.Ap1.1300,2.05511369388661
evm.TU.Ap1.1301,NA
evm.TU.Ap1.1302,-0.834865680202423
evm.TU.Ap1.1303,0.141129634899169
evm.TU.Ap1.1304,-0.772227421780127
evm.TU.Ap1.1305,-0.949181625324921
evm.TU.Ap1.1306,0.272777794377374
evm.TU.Ap1.1307,0.893063717417682
evm.TU.Ap1.1308,-0.155055083321732
evm.TU.Ap1.1309,-0.111606774086196
evm.TU.Ap1.131,0.480480598283204
evm.TU.Ap1.1310,1.38091654982266
evm.TU.Ap1.1311,0.575752485558238
evm.TU.Ap1.1312,0.852458536492486
evm.TU.Ap1.1313,1.33665635432746
evm.TU.Ap1.1314,NA
evm.TU.Ap1.1315,NA
evm.TU.Ap1.1316,0.454923170920216
evm.TU.Ap1.1317,NA
evm.TU.Ap1.1318,1.22778659410997
evm.TU.Ap1.1319,NA
evm.TU.Ap1.132,0.191888955438664
evm.TU.Ap1.1320,0.454923170920216
evm.TU.Ap1.1321,NA
evm.TU.Ap1.1322,NA
evm.TU.Ap1.1323,NA
evm.TU.Ap1.1324,1.22778659410997
evm.TU.Ap1.1325,NA
evm.TU.Ap1.1326,1.22778659410997
evm.TU.Ap1.1327,NA
evm.TU.Ap1.1328,-0.271155127627075
evm.TU.Ap1.1329,NA
evm.TU.Ap1.133,1.05336596756603
evm.TU.Ap1.1330,NA
evm.TU.Ap1.1331,NA
evm.TU.Ap1.1332,NA
evm.TU.Ap1.1333,NA
evm.TU.Ap1.1334,0.867117847397457
evm.TU.Ap1.1335,NA
evm.TU.Ap1.1337_evm.TU.Ap1.1336,-0.0932236855831357
evm.TU.Ap1.1338,-0.607844074416376
evm.TU.Ap1.1339,-1.05474691257714
evm.TU.Ap1.134,-0.504363284066054
evm.TU.Ap1.1340,0.0942544242077071
evm.TU.Ap1.1341,NA
evm.TU.Ap1.1342,NA
evm.TU.Ap1.1343,0.454923170920216
evm.TU.Ap1.1344,-0.0625208698489147
evm.TU.Ap1.1345,0.454923170920216
evm.TU.Ap1.1346,NA
evm.TU.Ap1.1347,-0.0276980531156593
evm.TU.Ap1.1348,0.454923170920216
evm.TU.Ap1.1349,NA
evm.TU.Ap1.135,1.22778659410997
evm.TU.Ap1.1350,NA
evm.TU.Ap1.1351,-0.0284734146585796
evm.TU.Ap1.1352,NA
evm.TU.Ap1.1353,0.454923170920216
evm.TU.Ap1.1354,NA
evm.TU.Ap1.1355,NA
evm.TU.Ap1.1356,-0.507104485389457
evm.TU.Ap1.1357,NA
evm.TU.Ap1.1358,NA
evm.TU.Ap1.1359,NA
evm.TU.Ap1.136,-0.26022712960777
evm.TU.Ap1.1360,NA
evm.TU.Ap1.1361,-0.227304568562907
evm.TU.Ap1.1362,NA
evm.TU.Ap1.1363,-0.326478921047031
evm.TU.Ap1.1364,0.101257933882943
evm.TU.Ap1.1365,0.936852897740383
evm.TU.Ap1.1366,-0.407090727270182
evm.TU.Ap1.1367,0.0600148124987208
evm.TU.Ap1.1368,0.454923170920216
evm.TU.Ap1.1369,NA
evm.TU.Ap1.137,0.676288534056134
evm.TU.Ap1.1370,0.0282346467253683
evm.TU.Ap1.1371,0.37287311615758
evm.TU.Ap1.1372,-1.02244495995336
evm.TU.Ap1.1373,0.195628356967415
evm.TU.Ap1.1374,0.116488927940473
evm.TU.Ap1.1375,-0.0577349107558372
evm.TU.Ap1.1376,-0.106757857466291
evm.TU.Ap1.1377,-0.485382322929812
evm.TU.Ap1.1378,0.586861416701591
evm.TU.Ap1.1379,-0.0841885223324014
evm.TU.Ap1.138,1.30940415796536
evm.TU.Ap1.1380,-0.386317147322068
evm.TU.Ap1.1381,-1.16592409591334
evm.TU.Ap1.1382,-0.192475335352632
evm.TU.Ap1.1383,-0.0746420782347179
evm.TU.Ap1.1384,0.508153088090559
evm.TU.Ap1.1385,-0.250873327084507
evm.TU.Ap1.1386,0.112763627519361
evm.TU.Ap1.1387,0.134223934819824
evm.TU.Ap1.1388,0.467060872570278
evm.TU.Ap1.1389,-0.041242147984577
evm.TU.Ap1.139,0.243277897113972
evm.TU.Ap1.1390,-0.952756528691669
evm.TU.Ap1.1391,0.277565335834265
evm.TU.Ap1.1392,-0.321780439625627
evm.TU.Ap1.1393,-0.00825312520538683
evm.TU.Ap1.1394,-0.462274035206343
evm.TU.Ap1.1395,0.0942544242077072
evm.TU.Ap1.1396,-0.438441229344684
evm.TU.Ap1.1397,-0.947435553481089
evm.TU.Ap1.1398,NA
evm.TU.Ap1.1399,-0.553810045221297
evm.TU.Ap1.14,-0.164997994396416
evm.TU.Ap1.140,-0.0702947362828377
evm.TU.Ap1.1400,0.506452984726605
evm.TU.Ap1.1401,0.0942544242077072
evm.TU.Ap1.1402,0.454923170920216
evm.TU.Ap1.1403,0.128697474506661
evm.TU.Ap1.1404,0.0942544242077075
evm.TU.Ap1.1405,-0.24016080409418
evm.TU.Ap1.1406,NA
evm.TU.Ap1.1407,-0.766270958371448
evm.TU.Ap1.1408,-0.143200577787927
evm.TU.Ap1.1409,0.144044205700173
evm.TU.Ap1.141,NA
evm.TU.Ap1.1410,-0.220002728753331
evm.TU.Ap1.1411,-0.0254773306054844
evm.TU.Ap1.1412,NA
evm.TU.Ap1.1413,-0.612054093341735
evm.TU.Ap1.1414,-0.225285245732612
evm.TU.Ap1.1415,-0.752195093810824
evm.TU.Ap1.1416,0.164192966211658
evm.TU.Ap1.1417,0.0231761102099213
evm.TU.Ap1.1418,NA
evm.TU.Ap1.1419,-0.0786650246714169
evm.TU.Ap1.142,-0.392315535865423
evm.TU.Ap1.1420,0.1421259705615
evm.TU.Ap1.1421,0.221821686181342
evm.TU.Ap1.1422,NA
evm.TU.Ap1.1423,NA
evm.TU.Ap1.1424,NA
evm.TU.Ap1.1425,NA
evm.TU.Ap1.1426,NA
evm.TU.Ap1.1427,NA
evm.TU.Ap1.1428,0.545834894067676
evm.TU.Ap1.1429,0.454923170920216
evm.TU.Ap1.143,0.131343360015864
evm.TU.Ap1.1430,-0.287403552219681
evm.TU.Ap1.1431,NA
evm.TU.Ap1.1432,NA
evm.TU.Ap1.1433,1.22778659410997
evm.TU.Ap1.1434,NA
evm.TU.Ap1.1435,NA
evm.TU.Ap1.1436,-0.0232612829171385
