genes,signedlogP
Ala_4207,NA
Ala_4211,NA
Ala_4212,NA
Ala_4213,NA
Ala_4215,NA
Ala_4216,NA
Ala_4218,NA
Ala_4219,NA
Ala_4221,NA
Ala_4222,NA
Ala_4238,NA
Ala_4239,NA
Ala_4240,NA
Ala_4241,NA
Ala_4242,NA
Ala_4243,NA
Ala_4258,NA
Ala_4262,NA
Ala_4265,NA
Ala_434,NA
Ala_4415,NA
Ala_4416,NA
Ala_4417,NA
Ala_4420,NA
Ala_4509,NA
Ala_4510,NA
Ala_4511,0.0513541057235986
Ala_4526,NA
Ala_4527,NA
Ala_4528,NA
Ala_4529,NA
Ala_4530,NA
Ala_4531,NA
Ala_4532,NA
Ala_4533,NA
Ala_4534,NA
Ala_4535,NA
Ala_4536,NA
Ala_4537,NA
Ala_4546,NA
Ala_4547,NA
Ala_4548,NA
Ala_4550,NA
Ala_4557,NA
Ala_4559,NA
Ala_4563,NA
Ala_4564,NA
Ala_4565,NA
Ala_4567,NA
Ala_4568,NA
Ala_4571,NA
Ala_4572,NA
Ala_4573,NA
Ala_4574,NA
Ala_4576,NA
Ala_4578,NA
Ala_4593,NA
Ala_4594,NA
Ala_4597,NA
Ala_4652,NA
Ala_4653,NA
Ala_527,NA
Ala_573,NA
Ala_61,NA
Ala_62,NA
Ala_63,NA
Ala_736,NA
Ala_833,NA
Ala_91,NA
Ala_915,NA
Ala_92,NA
Ala_93,NA
Ala_94,NA
Ala_95,NA
Ala_96,NA
Ala_996,NA
Arg_1309,NA
Arg_1310,NA
Arg_1347,NA
Arg_1348,NA
Arg_141,NA
Arg_1473,NA
Arg_1580,NA
Arg_1629,NA
Arg_2027,0.279626453284219
Arg_2030,NA
Arg_2303,NA
Arg_2385,NA
Arg_2471,NA
Arg_2688,NA
Arg_347,NA
Arg_348,NA
Arg_349,NA
Arg_350,NA
Arg_351,NA
Arg_352,NA
Arg_353,NA
Arg_354,NA
Arg_355,NA
Arg_356,NA
Arg_357,NA
Arg_364,NA
Arg_3932,NA
Arg_4544,NA
Arg_455,NA
Arg_459,NA
Arg_460,NA
Arg_521,NA
Arg_522,NA
Arg_59,NA
Asn_1215,NA
Asn_1220,NA
Asn_1327,NA
Asn_1328,NA
Asn_1330,NA
Asn_1335,NA
Asn_1578,NA
Asn_1616,NA
Asn_1685,NA
Asn_1943,NA
Asn_1947,NA
Asn_2094,NA
Asn_2217,0.195505027403493
Asn_2675,0.0513532063368723
Asn_3075,NA
Asn_3130,NA
Asn_3307,NA
Asn_3412,0.0513533348190782
Asn_3748,NA
Asn_3795,NA
Asn_4198,NA
Asn_4203,NA
Asn_4208,NA
Asn_4520,NA
Asn_4521,NA
Asn_4560,NA
Asn_4579,NA
Asn_4582,NA
Asn_4590,NA
Asn_891,NA
Asn_903,NA
Asn_926,NA
Asn_929,NA
Asn_935,NA
Asp_1019,NA
Asp_1022,0.0513541057235983
Asp_1190,NA
Asp_1303,NA
Asp_1308,NA
Asp_1361,NA
Asp_1362,NA
Asp_1363,NA
Asp_1364,NA
Asp_1365,NA
Asp_1435,NA
Asp_1436,NA
Asp_1437,NA
Asp_1495,NA
Asp_1530,NA
Asp_159,NA
Asp_1697,NA
Asp_1850,NA
Asp_1888,NA
Asp_2110,NA
Asp_2297,NA
Asp_2308,NA
Asp_2310,NA
Asp_2432,NA
Asp_2561,NA
Asp_2768,NA
Asp_309,NA
Asp_3324,NA
Asp_3687,NA
Asp_3797,NA
Asp_3874,NA
Asp_3893,NA
Asp_3894,NA
Asp_4296,NA
Asp_4380,0.0513529975949888
Asp_4471,NA
Asp_537,0.195505027403493
Asp_640,NA
Asp_641,NA
Asp_642,NA
Asp_932,NA
Cys_1109,NA
Cys_124,NA
Cys_2326,NA
Cys_2343,NA
Cys_2347,NA
Cys_2363,NA
Cys_425,0.0513533348190784
Cys_761,NA
Cys_781,NA
evm.TU.Ap1.1,-0.166104931874176
evm.TU.Ap1.10,-0.0724115470620011
evm.TU.Ap1.100,NA
evm.TU.Ap1.1000,-0.243249861254309
evm.TU.Ap1.1001,-0.969739459551972
evm.TU.Ap1.1002,0.0513532063368722
evm.TU.Ap1.1003,0.0513541057235986
evm.TU.Ap1.1004,NA
evm.TU.Ap1.1005,NA
evm.TU.Ap1.1006,-2.58349274820745
evm.TU.Ap1.1007,-0.69092511557456
evm.TU.Ap1.1008,NA
evm.TU.Ap1.1009,0.195502272386996
evm.TU.Ap1.101,-0.0101503952025726
evm.TU.Ap1.1010,0.051350281261101
evm.TU.Ap1.1011,0.126066443785636
evm.TU.Ap1.1012,-0.0101503952025728
evm.TU.Ap1.1013,NA
evm.TU.Ap1.1014,0.763649739069301
evm.TU.Ap1.1015,0.514881090336189
evm.TU.Ap1.1016,0.287643559822436
evm.TU.Ap1.1017,-0.00714198785428368
evm.TU.Ap1.1018,1.34057453677682
evm.TU.Ap1.1019,-1.55450655203431
evm.TU.Ap1.102,0.0513514075656653
evm.TU.Ap1.1020,-1.3594782045055
evm.TU.Ap1.1021,1.52147151964514
evm.TU.Ap1.1022,0.40413295711663
evm.TU.Ap1.1023,2.05924611300246
evm.TU.Ap1.1024,NA
evm.TU.Ap1.1025,0.337248521935952
evm.TU.Ap1.1026,-0.225386193079419
evm.TU.Ap1.1027,0.743062932201093
evm.TU.Ap1.1028,-1.40363454149404
evm.TU.Ap1.1029,-0.010151259918254
evm.TU.Ap1.103,0.0513541057235983
evm.TU.Ap1.1030,0.0718342431317133
evm.TU.Ap1.1031,NA
evm.TU.Ap1.1032,0.0513532063368722
evm.TU.Ap1.1033,-0.603843942124262
evm.TU.Ap1.1034,-3.18591161240489
evm.TU.Ap1.1035,0.42033482056566
evm.TU.Ap1.1036,0.16619254811111
evm.TU.Ap1.1037,NA
evm.TU.Ap1.1038,0.0513541057235983
evm.TU.Ap1.1039,0.0513524354329935
evm.TU.Ap1.104,NA
evm.TU.Ap1.1040_evm.TU.Ap1.1041,2.02047529290479
evm.TU.Ap1.1043_evm.TU.Ap1.1042,0.566447058985837
evm.TU.Ap1.1044,1.27838422713028
evm.TU.Ap1.1045,0.340767523255901
evm.TU.Ap1.1046,-1.62655269691116
evm.TU.Ap1.1047,NA
evm.TU.Ap1.1048,0.0513442430863811
evm.TU.Ap1.1049,0.545498155509523
evm.TU.Ap1.105,-1.28993429787023
evm.TU.Ap1.1050,-0.147394784576166
evm.TU.Ap1.1051,-0.779634576512983
evm.TU.Ap1.1052,-0.137986168581077
evm.TU.Ap1.1053,0.0513532063368722
evm.TU.Ap1.1054,-1.14059913182958
evm.TU.Ap1.1055,-2.44668128047365
evm.TU.Ap1.1056,-1.82412492822236
evm.TU.Ap1.1057,NA
evm.TU.Ap1.1058,-3.99783980280784
evm.TU.Ap1.1059,-1.53940903052862
evm.TU.Ap1.106,1.12401195804879
evm.TU.Ap1.1060,NA
evm.TU.Ap1.1061,1.96758592798239
evm.TU.Ap1.1062,-2.30690987086101
evm.TU.Ap1.1063,1.96719327619019
evm.TU.Ap1.1064,0.0201427634530543
evm.TU.Ap1.1065,NA
evm.TU.Ap1.1066,0.770093540898459
evm.TU.Ap1.1067,-0.361362419908869
evm.TU.Ap1.1068,-0.00440926026002823
evm.TU.Ap1.1069,0.0893511095786375
evm.TU.Ap1.107,2.20581017910663
evm.TU.Ap1.1070,0.449563421093539
evm.TU.Ap1.1071,0.126077303100733
evm.TU.Ap1.1072,0.0885787001612409
evm.TU.Ap1.1073,2.66717820688009
evm.TU.Ap1.1074,-2.17654259044278
evm.TU.Ap1.1075,-0.372840377998181
evm.TU.Ap1.1076,NA
evm.TU.Ap1.1077,-0.0807935831591504
evm.TU.Ap1.1078,-0.572529158267114
evm.TU.Ap1.1079,-0.861941666758317
evm.TU.Ap1.108,-0.0801645674955237
evm.TU.Ap1.1080,-0.101397920611078
evm.TU.Ap1.1081,NA
evm.TU.Ap1.1082,0.126066306594639
evm.TU.Ap1.1083,NA
evm.TU.Ap1.1084,NA
evm.TU.Ap1.1085,-3.39763324607985
evm.TU.Ap1.1086,-4.53349939525356
evm.TU.Ap1.1087,-0.400995521004557
evm.TU.Ap1.1088,NA
evm.TU.Ap1.1089,NA
evm.TU.Ap1.109,0.120490307401995
evm.TU.Ap1.1090,1.73295732694099
evm.TU.Ap1.1091,1.13049437796107
evm.TU.Ap1.1092,-2.89803219610545
evm.TU.Ap1.1093,-0.490981460623105
evm.TU.Ap1.1094,-0.0101521246346711
evm.TU.Ap1.1095,-0.90911559942101
evm.TU.Ap1.1096,-0.0418463828560715
evm.TU.Ap1.1097,NA
evm.TU.Ap1.1098,0.0513533348190782
evm.TU.Ap1.1099,1.3438387570724
evm.TU.Ap1.11,0.0513532063368722
evm.TU.Ap1.110,NA
evm.TU.Ap1.1100,-1.14389469519475
evm.TU.Ap1.1101,NA
evm.TU.Ap1.1102,NA
evm.TU.Ap1.1103,-0.875624174896246
evm.TU.Ap1.1104,-0.374463553414546
evm.TU.Ap1.1105,-0.22572276133478
evm.TU.Ap1.1106,NA
evm.TU.Ap1.1107,NA
evm.TU.Ap1.1108,0.720834998549982
evm.TU.Ap1.1109,0.201450737525977
evm.TU.Ap1.111,NA
evm.TU.Ap1.1110,-2.05902149568152
evm.TU.Ap1.1111,0.614810258657001
evm.TU.Ap1.1112,-1.13867476144444
evm.TU.Ap1.1113,6.86795420289176
evm.TU.Ap1.1114,-0.205435577286384
evm.TU.Ap1.1115,0.29957670943012
evm.TU.Ap1.1116,-0.608987660540129
evm.TU.Ap1.1117,-0.407688011715214
evm.TU.Ap1.1118,0.278835462504616
evm.TU.Ap1.1119,2.06497443114084
evm.TU.Ap1.112,NA
evm.TU.Ap1.1120,-0.0142136231690654
evm.TU.Ap1.1121,-0.264862984403522
evm.TU.Ap1.1122,0.231117687982845
evm.TU.Ap1.1123,1.81661423300779
evm.TU.Ap1.1124,-2.05092951024647
evm.TU.Ap1.1125,NA
evm.TU.Ap1.1126,NA
evm.TU.Ap1.1127,NA
evm.TU.Ap1.1128,0.258133464897453
evm.TU.Ap1.1129,NA
evm.TU.Ap1.113,NA
evm.TU.Ap1.1130,NA
evm.TU.Ap1.1131,NA
evm.TU.Ap1.1132,0.613961316775023
evm.TU.Ap1.1133,-0.837402352133587
evm.TU.Ap1.1134,0.342294873135631
evm.TU.Ap1.1135,0.416223386110952
evm.TU.Ap1.1136,0.445127930064307
evm.TU.Ap1.1137,NA
evm.TU.Ap1.1138,NA
evm.TU.Ap1.1139,NA
evm.TU.Ap1.114,4.48354730658957
evm.TU.Ap1.1140,NA
evm.TU.Ap1.1141,-0.529281802542259
evm.TU.Ap1.1142,0.0394592825826108
evm.TU.Ap1.1143,-8.86653734972337
evm.TU.Ap1.1144,-5.71607742542477
evm.TU.Ap1.1145,1.349287610908
evm.TU.Ap1.1146,NA
evm.TU.Ap1.1147,NA
evm.TU.Ap1.1148,0.372385484542528
evm.TU.Ap1.1149,NA
evm.TU.Ap1.115,0.0913211656303737
evm.TU.Ap1.1150,NA
evm.TU.Ap1.1151,NA
evm.TU.Ap1.1152,NA
evm.TU.Ap1.1153,-0.0101600334596867
evm.TU.Ap1.1154,NA
evm.TU.Ap1.1155,-0.875744073342554
evm.TU.Ap1.1156,NA
evm.TU.Ap1.1157,-0.423083826808208
evm.TU.Ap1.1158,-4.20857007523414
evm.TU.Ap1.1159,0.157557297899165
evm.TU.Ap1.116,4.72889509800022
evm.TU.Ap1.1160,-1.69799415693304
evm.TU.Ap1.1161,11.5273353914963
evm.TU.Ap1.1162,0.647434100687297
evm.TU.Ap1.1163,-0.312398716686453
evm.TU.Ap1.1164,-0.102793311779844
evm.TU.Ap1.1165,0.276833457172522
evm.TU.Ap1.1166,0.221688465815036
evm.TU.Ap1.1167,1.48732043748559
evm.TU.Ap1.1168,0.673528850980632
evm.TU.Ap1.1169,0.800336800335677
evm.TU.Ap1.117,0.275426725763209
evm.TU.Ap1.1170,-0.601023726478745
evm.TU.Ap1.1171,0.0513523069508945
evm.TU.Ap1.1172,0.966360550185653
evm.TU.Ap1.1173,0.972862622589432
evm.TU.Ap1.1174,-0.00348448618899188
evm.TU.Ap1.1175,NA
evm.TU.Ap1.1176,0.50986029497676
evm.TU.Ap1.1177,-0.998403522486371
evm.TU.Ap1.1178,0.195505027403493
evm.TU.Ap1.1179,NA
evm.TU.Ap1.118,NA
evm.TU.Ap1.1180,NA
evm.TU.Ap1.1181,NA
evm.TU.Ap1.1182,NA
evm.TU.Ap1.1183,NA
evm.TU.Ap1.1184,NA
evm.TU.Ap1.1185,0.31988640885747
evm.TU.Ap1.1186,NA
evm.TU.Ap1.1187,NA
evm.TU.Ap1.1188_evm.TU.Ap1.1190,-0.712972320982013
evm.TU.Ap1.1189,NA
evm.TU.Ap1.119,NA
evm.TU.Ap1.1191,-0.268375747068272
evm.TU.Ap1.1192,-0.400025608570499
evm.TU.Ap1.1193,0.222725674744999
evm.TU.Ap1.1194,1.59268043509297
evm.TU.Ap1.1195,-1.03603871290106
evm.TU.Ap1.1196,0.0513525639151077
evm.TU.Ap1.1197,NA
evm.TU.Ap1.1198,0.370191290194895
evm.TU.Ap1.1199,-0.0165041384611816
evm.TU.Ap1.12,0.104559342761159
evm.TU.Ap1.120,-0.371153936477652
evm.TU.Ap1.1200,NA
evm.TU.Ap1.1201,NA
evm.TU.Ap1.1202,0.0513524354329935
evm.TU.Ap1.1203,-0.390821848456277
evm.TU.Ap1.1204,NA
evm.TU.Ap1.1205,0.0513522856834167
evm.TU.Ap1.1206,NA
evm.TU.Ap1.1207,NA
evm.TU.Ap1.1208,NA
evm.TU.Ap1.1209,NA
evm.TU.Ap1.121,0.963081000607736
evm.TU.Ap1.1210,NA
evm.TU.Ap1.1211,NA
evm.TU.Ap1.1212,NA
evm.TU.Ap1.1213,NA
evm.TU.Ap1.1214,NA
evm.TU.Ap1.1215,NA
evm.TU.Ap1.1216,0.126067266943654
evm.TU.Ap1.1217,0.134976404424662
evm.TU.Ap1.1218,0.273210358996925
evm.TU.Ap1.1219,0.367502631759108
evm.TU.Ap1.122,NA
evm.TU.Ap1.1220,-0.401120028440598
evm.TU.Ap1.1221,NA
evm.TU.Ap1.1222,NA
evm.TU.Ap1.1223,-0.858279232707264
evm.TU.Ap1.1224,NA
evm.TU.Ap1.1225,NA
evm.TU.Ap1.1226,NA
evm.TU.Ap1.1227,NA
evm.TU.Ap1.1228,NA
evm.TU.Ap1.1229,0.0816368310912352
evm.TU.Ap1.123,-0.224476251556128
evm.TU.Ap1.1230,0.195502997393381
evm.TU.Ap1.1231,-1.20976762256459
evm.TU.Ap1.1232,0.70430123535871
evm.TU.Ap1.1233,-0.279523940006919
evm.TU.Ap1.1234,-2.10092298710507
evm.TU.Ap1.1235,0.0655331954333506
evm.TU.Ap1.1236,NA
evm.TU.Ap1.1237,NA
evm.TU.Ap1.1238,-0.365133495374826
evm.TU.Ap1.1239,-2.80636186518849
evm.TU.Ap1.124,-0.39013511989126
evm.TU.Ap1.1240,0.0513532063368722
evm.TU.Ap1.1241,0.051350558008551
evm.TU.Ap1.1242,-0.0101503952025728
evm.TU.Ap1.1243,-0.187077872213178
evm.TU.Ap1.1244,-1.85685557602926
evm.TU.Ap1.1245,-2.74201452587285
evm.TU.Ap1.1246,1.22445711792981
evm.TU.Ap1.1247,-0.83933573308718
evm.TU.Ap1.1248,-2.84117947379299
evm.TU.Ap1.1249,-0.400908442489671
evm.TU.Ap1.125,-0.296816178003627
evm.TU.Ap1.1250,0.117824098658632
evm.TU.Ap1.1251,-0.010151259918254
evm.TU.Ap1.1252,-0.31339269824054
evm.TU.Ap1.1253,-0.326147658467026
evm.TU.Ap1.1254,NA
evm.TU.Ap1.1255,-3.22720957279898
evm.TU.Ap1.1256,-0.820460670908028
evm.TU.Ap1.1257,-0.0732013457819578
evm.TU.Ap1.1258,-0.545475140770536
evm.TU.Ap1.1259,-0.901089050502321
evm.TU.Ap1.126,-0.471698324020757
evm.TU.Ap1.1260,0.752660450761784
evm.TU.Ap1.1261,-0.671077265059653
evm.TU.Ap1.1262,0.248531605403796
evm.TU.Ap1.1263,-0.286879361993903
evm.TU.Ap1.1264,-4.65715055104429
evm.TU.Ap1.1265,-0.0101503952025725
evm.TU.Ap1.1266,-4.14630863879764
evm.TU.Ap1.1267,-0.745318331294841
evm.TU.Ap1.1268,0.0859455139740591
evm.TU.Ap1.1269,-4.54838553229547
evm.TU.Ap1.127,0.126067266943654
evm.TU.Ap1.1270,0.195504012398044
evm.TU.Ap1.1271,NA
evm.TU.Ap1.1272,-0.185375014928084
evm.TU.Ap1.1273,-1.1976935976823
evm.TU.Ap1.1274,0.0513532063368722
evm.TU.Ap1.1275,0.377711879453049
evm.TU.Ap1.1276,2.11878729193188
evm.TU.Ap1.1277,-0.114976138139311
evm.TU.Ap1.1278,-0.00450866225687777
evm.TU.Ap1.1279,-0.0340883819669355
evm.TU.Ap1.128,0.279626048752027
evm.TU.Ap1.1280,NA
evm.TU.Ap1.1281,-0.0407386185271826
evm.TU.Ap1.1282,-0.301595235147399
evm.TU.Ap1.1283,0.0432173585051948
evm.TU.Ap1.1284,2.03828952263997
evm.TU.Ap1.1285,0.484723355883911
evm.TU.Ap1.1286,-0.0804365974404557
evm.TU.Ap1.1287,NA
evm.TU.Ap1.1288,NA
evm.TU.Ap1.1289,NA
evm.TU.Ap1.129,-0.442698731919479
evm.TU.Ap1.1290,NA
evm.TU.Ap1.1291,NA
evm.TU.Ap1.1292,-5.83393693948307
evm.TU.Ap1.1293,0.135695836344067
evm.TU.Ap1.1294,-3.42164446658131
evm.TU.Ap1.1295,0.110431606899289
evm.TU.Ap1.1296,0.117934645576629
evm.TU.Ap1.1297,NA
evm.TU.Ap1.1298,-0.0497839144872234
evm.TU.Ap1.1299,0.0521571203137387
evm.TU.Ap1.13,4.4206426528228
evm.TU.Ap1.130,-0.00151602156182163
evm.TU.Ap1.1300,0.210076797281416
evm.TU.Ap1.1301,NA
evm.TU.Ap1.1302,-0.0320463794526291
evm.TU.Ap1.1303,0.15493845670594
evm.TU.Ap1.1304,-0.0379739197471988
evm.TU.Ap1.1305,-0.355527617434181
evm.TU.Ap1.1306,-0.678548372990581
evm.TU.Ap1.1307,0.818937536450573
evm.TU.Ap1.1308,-0.388916035263328
evm.TU.Ap1.1309,1.00945641518655
evm.TU.Ap1.131,0.0645882151905497
evm.TU.Ap1.1310,0.196894841330818
evm.TU.Ap1.1311,-0.652711669998586
evm.TU.Ap1.1312,0.838149634515005
evm.TU.Ap1.1313,0.0805280978786182
evm.TU.Ap1.1314,NA
evm.TU.Ap1.1315,NA
evm.TU.Ap1.1316,0.0513541057235983
evm.TU.Ap1.1317,NA
evm.TU.Ap1.1318,NA
evm.TU.Ap1.1319,NA
evm.TU.Ap1.132,0.2719201624804
evm.TU.Ap1.1320,0.0513525639151077
evm.TU.Ap1.1321,NA
evm.TU.Ap1.1322,NA
evm.TU.Ap1.1323,NA
evm.TU.Ap1.1324,NA
evm.TU.Ap1.1325,NA
evm.TU.Ap1.1326,NA
evm.TU.Ap1.1327,NA
evm.TU.Ap1.1328,-0.073270050508948
evm.TU.Ap1.1329,NA
evm.TU.Ap1.133,1.4801911326565
evm.TU.Ap1.1330,NA
evm.TU.Ap1.1331,NA
evm.TU.Ap1.1332,NA
evm.TU.Ap1.1333,NA
evm.TU.Ap1.1334,0.126066306594639
evm.TU.Ap1.1335,NA
evm.TU.Ap1.1337_evm.TU.Ap1.1336,-6.31033601177462
evm.TU.Ap1.1338,-0.137971131517029
evm.TU.Ap1.1339,-0.225040497619369
evm.TU.Ap1.134,1.09996497593367
evm.TU.Ap1.1340,0.0803861280474266
evm.TU.Ap1.1341,NA
evm.TU.Ap1.1342,NA
evm.TU.Ap1.1343,0.0513541057235983
evm.TU.Ap1.1344,-1.65804193162369
evm.TU.Ap1.1345,0.0513532063368725
evm.TU.Ap1.1346,0.195505027403493
evm.TU.Ap1.1347,-0.618284393775394
evm.TU.Ap1.1348,0.0513533348190782
evm.TU.Ap1.1349,NA
evm.TU.Ap1.135,0.279628456973466
evm.TU.Ap1.1350,NA
evm.TU.Ap1.1351,-0.369814413648092
evm.TU.Ap1.1352,NA
evm.TU.Ap1.1353,0.0513502834772839
evm.TU.Ap1.1354,NA
evm.TU.Ap1.1355,NA
evm.TU.Ap1.1356,-0.276649415412522
evm.TU.Ap1.1357,NA
evm.TU.Ap1.1358,NA
evm.TU.Ap1.1359,NA
evm.TU.Ap1.136,-0.945679399214686
evm.TU.Ap1.1360,NA
evm.TU.Ap1.1361,-2.01349491302184
evm.TU.Ap1.1362,NA
evm.TU.Ap1.1363,-1.74560807211823
evm.TU.Ap1.1364,0.0177051097831306
evm.TU.Ap1.1365,0.269378210873441
evm.TU.Ap1.1366,-0.149028233434721
evm.TU.Ap1.1367,-0.492557102702034
evm.TU.Ap1.1368,0.0513541057235983
evm.TU.Ap1.1369,NA
evm.TU.Ap1.137,0.820691831837783
evm.TU.Ap1.1370,-3.73738744984572
evm.TU.Ap1.1371,-0.434006753419058
evm.TU.Ap1.1372,1.1534573208524
evm.TU.Ap1.1373,0.640741837484253
evm.TU.Ap1.1374,-0.709931597353456
evm.TU.Ap1.1375,-0.0199805983833338
evm.TU.Ap1.1376,-1.29187391026046
evm.TU.Ap1.1377,-5.99271195563231
evm.TU.Ap1.1378,1.01625456359208
evm.TU.Ap1.1379,-0.0876098204488324
evm.TU.Ap1.138,0.0591334730738462
evm.TU.Ap1.1380,-1.97531369694998
evm.TU.Ap1.1381,-1.99834618049136
evm.TU.Ap1.1382,1.25397169679361
evm.TU.Ap1.1383,9.46799904418503
evm.TU.Ap1.1384,0.756817393917912
evm.TU.Ap1.1385,2.43578784652031
evm.TU.Ap1.1386,3.13456835259808
evm.TU.Ap1.1387,0.0067437992201376
evm.TU.Ap1.1388,-0.667438101992994
evm.TU.Ap1.1389,-2.63437601376251
evm.TU.Ap1.139,0.0733860919804974
evm.TU.Ap1.1390,-2.23797434307348
evm.TU.Ap1.1391,-0.572292871285125
evm.TU.Ap1.1392,-0.13700307951728
evm.TU.Ap1.1393,-4.00408782007686
evm.TU.Ap1.1394,-0.00538364982337861
evm.TU.Ap1.1395,0.0604287336535103
evm.TU.Ap1.1396,-0.102745415266041
evm.TU.Ap1.1397,-0.158473885160586
evm.TU.Ap1.1398,NA
evm.TU.Ap1.1399,-0.42806808411455
evm.TU.Ap1.14,0.60428875334384
evm.TU.Ap1.140,1.04792021494463
evm.TU.Ap1.1400,-0.010153716703773
evm.TU.Ap1.1401,0.0604271753407522
evm.TU.Ap1.1402,0.0513516609673838
evm.TU.Ap1.1403,-2.0604234530009
evm.TU.Ap1.1404,-0.0101503952025727
evm.TU.Ap1.1405,0.043627771708083
evm.TU.Ap1.1406,0.514765849086637
evm.TU.Ap1.1407,-2.42648103789807
evm.TU.Ap1.1408,0.758783928089412
evm.TU.Ap1.1409,-1.79361890575158
evm.TU.Ap1.141,NA
evm.TU.Ap1.1410,2.12128012255068
evm.TU.Ap1.1411,-0.18923590156848
evm.TU.Ap1.1412,NA
evm.TU.Ap1.1413,0.55058742616974
evm.TU.Ap1.1414,-3.6030365730829
evm.TU.Ap1.1415,-1.02381591916764
evm.TU.Ap1.1416,0.720665638743209
evm.TU.Ap1.1417,-1.40495022789626
evm.TU.Ap1.1418,NA
evm.TU.Ap1.1419,0.259348917630959
evm.TU.Ap1.142,-0.242824386102646
evm.TU.Ap1.1420,0.6057052363006
evm.TU.Ap1.1421,-2.1764577792103
evm.TU.Ap1.1422,NA
evm.TU.Ap1.1423,NA
evm.TU.Ap1.1424,NA
evm.TU.Ap1.1425,NA
evm.TU.Ap1.1426,NA
evm.TU.Ap1.1427,NA
evm.TU.Ap1.1428,-0.0021690682094722
evm.TU.Ap1.1429,0.142298147032218
evm.TU.Ap1.143,-2.46262336171328
evm.TU.Ap1.1430,-0.35306751371648
evm.TU.Ap1.1431,NA
evm.TU.Ap1.1432,NA
evm.TU.Ap1.1433,NA
evm.TU.Ap1.1434,NA
