genes,log2FoldChange
Ala_4215,NA
Ala_4216,NA
Ala_4218,NA
Ala_4219,NA
Ala_4221,NA
Ala_4222,NA
Ala_4238,NA
Ala_4239,NA
Ala_4240,NA
Ala_4241,NA
Ala_4242,NA
Ala_4243,0
Ala_4258,NA
Ala_4262,NA
Ala_4265,NA
Ala_434,NA
Ala_4415,NA
Ala_4416,NA
Ala_4417,NA
Ala_4420,NA
Ala_4509,NA
Ala_4510,NA
Ala_4511,-0.211633025724406
Ala_4526,NA
Ala_4527,NA
Ala_4528,NA
Ala_4529,NA
Ala_4530,NA
Ala_4531,NA
Ala_4532,NA
Ala_4533,NA
Ala_4534,NA
Ala_4535,NA
Ala_4536,NA
Ala_4537,NA
Ala_4546,NA
Ala_4547,NA
Ala_4548,NA
Ala_4550,NA
Ala_4557,NA
Ala_4559,NA
Ala_4563,NA
Ala_4564,NA
Ala_4565,NA
Ala_4567,NA
Ala_4568,NA
Ala_4571,NA
Ala_4572,NA
Ala_4573,NA
Ala_4574,NA
Ala_4576,NA
Ala_4578,NA
Ala_4593,NA
Ala_4594,-0.211633025724405
Ala_4597,NA
Ala_4652,NA
Ala_4653,NA
Ala_527,NA
Ala_573,NA
Ala_61,NA
Ala_62,NA
Ala_63,NA
Ala_736,NA
Ala_833,0
Ala_91,NA
Ala_915,NA
Ala_92,NA
Ala_93,NA
Ala_94,NA
Ala_95,NA
Ala_96,NA
Ala_996,0.39031364280126
Arg_1309,NA
Arg_1310,NA
Arg_1347,NA
Arg_1348,NA
Arg_141,0.18680601519933
Arg_1473,NA
Arg_1580,NA
Arg_1629,NA
Arg_2027,0.395922969530741
Arg_2030,NA
Arg_2303,NA
Arg_2385,NA
Arg_2471,0.39593350522794
Arg_2688,NA
Arg_347,NA
Arg_348,NA
Arg_349,NA
Arg_350,NA
Arg_351,NA
Arg_352,NA
Arg_353,NA
Arg_354,NA
Arg_355,NA
Arg_356,NA
Arg_357,NA
Arg_364,0
Arg_3932,0
Arg_4544,NA
Arg_455,0
Arg_459,NA
Arg_460,NA
Arg_521,NA
Arg_522,NA
Arg_59,NA
Asn_1215,NA
Asn_1220,NA
Asn_1327,NA
Asn_1328,NA
Asn_1330,NA
Asn_1335,NA
Asn_1578,NA
Asn_1616,NA
Asn_1685,NA
Asn_1943,NA
Asn_1947,NA
Asn_2094,NA
Asn_2217,0.617489046739366
Asn_2675,-0.211640932325697
Asn_3075,NA
Asn_3130,NA
Asn_3307,0.18680601519933
Asn_3412,-0.596324316491448
Asn_3748,NA
Asn_3795,0.395936140759387
Asn_4198,NA
Asn_4203,NA
Asn_4208,NA
Asn_4520,NA
Asn_4521,NA
Asn_4560,NA
Asn_4579,NA
Asn_4582,NA
Asn_4590,NA
Asn_891,NA
Asn_903,0
Asn_926,NA
Asn_929,NA
Asn_935,NA
Asp_1019,NA
Asp_1022,-0.211633025724406
Asp_1190,NA
Asp_1303,-0.197885692840073
Asp_1308,NA
Asp_1361,NA
Asp_1362,NA
Asp_1363,NA
Asp_1364,NA
Asp_1365,NA
Asp_1435,NA
Asp_1436,NA
Asp_1437,NA
Asp_1495,NA
Asp_1530,NA
Asp_159,NA
Asp_1697,NA
Asp_1850,NA
Asp_1888,NA
Asp_2110,NA
Asp_2297,NA
Asp_2308,NA
Asp_2310,NA
Asp_2432,NA
Asp_2561,-0.21164410819919
Asp_2768,NA
Asp_309,NA
Asp_3324,0.18680601519933
Asp_3687,NA
Asp_3797,NA
Asp_3874,-0.211646023936951
Asp_3893,NA
Asp_3894,NA
Asp_4296,0
Asp_4380,-0.197885923607412
Asp_4471,NA
Asp_537,0.18680601519933
Asp_640,NA
Asp_641,NA
Asp_642,NA
Asp_932,NA
Cys_1109,NA
Cys_124,NA
Cys_2326,NA
Cys_2343,NA
Cys_2347,NA
Cys_2363,0
Cys_425,-0.211635458527367
Cys_761,NA
Cys_781,0
evm.TU.Ap1.1,0.473713099215784
evm.TU.Ap1.10,-0.94187480040907
evm.TU.Ap1.100,0
evm.TU.Ap1.1000,-0.88426257018538
evm.TU.Ap1.1001,-0.929800126680847
evm.TU.Ap1.1002,-0.211640932325698
evm.TU.Ap1.1003,-0.211633025724406
evm.TU.Ap1.1004,0
evm.TU.Ap1.1005,0
evm.TU.Ap1.1006,-0.91630554375669
evm.TU.Ap1.1007,-0.10889219096161
evm.TU.Ap1.1008,NA
evm.TU.Ap1.1009,0.395901951368631
evm.TU.Ap1.101,-0.403977454706446
evm.TU.Ap1.1010,-0.579045414846912
evm.TU.Ap1.1011,-0.00554084658567184
evm.TU.Ap1.1012,-0.403977454706446
evm.TU.Ap1.1013,0
evm.TU.Ap1.1014,0.480276339365466
evm.TU.Ap1.1015,0.133041822926081
evm.TU.Ap1.1016,0.203259595310283
evm.TU.Ap1.1017,-0.0767596720224155
evm.TU.Ap1.1018,1.0273599175225
evm.TU.Ap1.1019,-0.600539143069512
evm.TU.Ap1.102,0.0111663576131917
evm.TU.Ap1.1020,-1.62945864929778
evm.TU.Ap1.1021,0.510988645124286
evm.TU.Ap1.1022,0.620560121241159
evm.TU.Ap1.1023,0.657547863884713
evm.TU.Ap1.1024,NA
evm.TU.Ap1.1025,0.12686470586686
evm.TU.Ap1.1026,-0.536698811128252
evm.TU.Ap1.1027,0.289350683646107
evm.TU.Ap1.1028,-0.392952611289832
evm.TU.Ap1.1029,-0.403985361307738
evm.TU.Ap1.103,-0.00554104931647441
evm.TU.Ap1.1030,0.0108344147448855
evm.TU.Ap1.1031,0
evm.TU.Ap1.1032,-0.40398262979873
evm.TU.Ap1.1033,-1.77965701419022
evm.TU.Ap1.1034,-1.27337586433262
evm.TU.Ap1.1035,0.924879000556913
evm.TU.Ap1.1036,0.114273601019052
evm.TU.Ap1.1037,0
evm.TU.Ap1.1038,-0.211638296791933
evm.TU.Ap1.1039,-0.390241039605597
evm.TU.Ap1.104,NA
evm.TU.Ap1.1040_evm.TU.Ap1.1041,0.66789105411516
evm.TU.Ap1.1043_evm.TU.Ap1.1042,0.122054491024652
evm.TU.Ap1.1044,0.143646774293154
evm.TU.Ap1.1045,-0.0442796090122341
evm.TU.Ap1.1046,-0.564691590240775
evm.TU.Ap1.1047,-2.10393664182517
evm.TU.Ap1.1048,-0.403988993906996
evm.TU.Ap1.1049,0.926162428546706
evm.TU.Ap1.105,-1.19982879686008
evm.TU.Ap1.1050,-4.13731822466683
evm.TU.Ap1.1051,-1.81212385960568
evm.TU.Ap1.1052,-0.120500933684318
evm.TU.Ap1.1053,-0.211638094061131
evm.TU.Ap1.1054,0.021301750586827
evm.TU.Ap1.1055,-0.363090318954621
evm.TU.Ap1.1056,-0.483956497895604
evm.TU.Ap1.1057,-0.211645192819868
evm.TU.Ap1.1058,-0.745517385847133
evm.TU.Ap1.1059,-0.263828354088646
evm.TU.Ap1.106,0.267483874978244
evm.TU.Ap1.1060,0
evm.TU.Ap1.1061,0.626961048193923
evm.TU.Ap1.1062,-0.00492394697686123
evm.TU.Ap1.1063,0.421260503138111
evm.TU.Ap1.1064,0.226582137187179
evm.TU.Ap1.1065,NA
evm.TU.Ap1.1066,0.0934982764767735
evm.TU.Ap1.1067,-0.598283498659052
evm.TU.Ap1.1068,-0.152603916916507
evm.TU.Ap1.1069,-0.954871634257146
evm.TU.Ap1.107,0.801461665596288
evm.TU.Ap1.1070,0.0872842948749973
evm.TU.Ap1.1071,0.319890826635882
evm.TU.Ap1.1072,0.0548294119207684
evm.TU.Ap1.1073,0.648302304274637
evm.TU.Ap1.1074,-1.34169111158804
evm.TU.Ap1.1075,-0.88506293978775
evm.TU.Ap1.1076,0
evm.TU.Ap1.1077,-0.358798105786801
evm.TU.Ap1.1078,-0.133503829428854
evm.TU.Ap1.1079,-0.601523495352116
evm.TU.Ap1.108,-0.366165369364548
evm.TU.Ap1.1080,-0.13718347584285
evm.TU.Ap1.1081,0.186795436204679
evm.TU.Ap1.1082,-0.00554683976027667
evm.TU.Ap1.1083,-0.211635458527367
evm.TU.Ap1.1084,NA
evm.TU.Ap1.1085,-0.77787838136788
evm.TU.Ap1.1086,-0.964681994194602
evm.TU.Ap1.1087,-0.855835966486882
evm.TU.Ap1.1088,NA
evm.TU.Ap1.1089,NA
evm.TU.Ap1.109,-0.194613547525054
evm.TU.Ap1.1090,0.270020865100443
evm.TU.Ap1.1091,0.624470730638208
evm.TU.Ap1.1092,-0.255009595430989
evm.TU.Ap1.1093,-0.231032636316986
evm.TU.Ap1.1094,-0.390236427208337
evm.TU.Ap1.1095,-0.423730775788934
evm.TU.Ap1.1096,-0.138626749438871
evm.TU.Ap1.1097,NA
evm.TU.Ap1.1098,-0.211635458527367
evm.TU.Ap1.1099,0.522326240600936
evm.TU.Ap1.11,-0.21163566125817
evm.TU.Ap1.110,NA
evm.TU.Ap1.1100,-1.33025033337976
evm.TU.Ap1.1101,0
evm.TU.Ap1.1102,NA
evm.TU.Ap1.1103,-0.555394213286093
evm.TU.Ap1.1104,-0.306800301150677
evm.TU.Ap1.1105,-0.58675734024701
evm.TU.Ap1.1106,NA
evm.TU.Ap1.1107,NA
evm.TU.Ap1.1108,0.306924742078156
evm.TU.Ap1.1109,0.536482400163555
evm.TU.Ap1.111,NA
evm.TU.Ap1.1110,-0.118275418692572
evm.TU.Ap1.1111,0.357793502520802
evm.TU.Ap1.1112,-0.207235609244544
evm.TU.Ap1.1113,1.06053877059665
evm.TU.Ap1.1114,0.518353167504652
evm.TU.Ap1.1115,-0.0196821356176486
evm.TU.Ap1.1116,-0.155464226214832
evm.TU.Ap1.1117,-0.427883485131299
evm.TU.Ap1.1118,0.419864029619027
evm.TU.Ap1.1119,0.767613060515263
evm.TU.Ap1.112,0
evm.TU.Ap1.1120,-0.197883613910378
evm.TU.Ap1.1121,0.408978481822037
evm.TU.Ap1.1122,0.231632402843804
evm.TU.Ap1.1123,0.466558953232419
evm.TU.Ap1.1124,-0.923146215477487
evm.TU.Ap1.1125,NA
evm.TU.Ap1.1126,NA
evm.TU.Ap1.1127,NA
evm.TU.Ap1.1128,0.00452210800436895
evm.TU.Ap1.1129,NA
evm.TU.Ap1.113,NA
evm.TU.Ap1.1130,NA
evm.TU.Ap1.1131,NA
evm.TU.Ap1.1132,0.258724460279225
evm.TU.Ap1.1133,-0.049215968180794
evm.TU.Ap1.1134,-0.134533331851734
evm.TU.Ap1.1135,-0.4666866544701
evm.TU.Ap1.1136,0.0180177533340429
evm.TU.Ap1.1137,0
evm.TU.Ap1.1138,NA
evm.TU.Ap1.1139,NA
evm.TU.Ap1.114,1.19525671756235
evm.TU.Ap1.1140,NA
evm.TU.Ap1.1141,-0.362787731614934
evm.TU.Ap1.1142,-0.134242753504454
evm.TU.Ap1.1143,-2.89261225335436
evm.TU.Ap1.1144,-2.5004753839419
evm.TU.Ap1.1145,0.846576111991851
evm.TU.Ap1.1146,NA
evm.TU.Ap1.1147,0.186797869007641
evm.TU.Ap1.1148,0.258625835022135
evm.TU.Ap1.1149,NA
evm.TU.Ap1.115,0.0352396789008503
evm.TU.Ap1.1150,NA
evm.TU.Ap1.1151,NA
evm.TU.Ap1.1152,NA
evm.TU.Ap1.1153,-0.378166248152044
evm.TU.Ap1.1154,0.395926239282106
evm.TU.Ap1.1155,-0.747297857173697
evm.TU.Ap1.1156,-0.211638296791933
evm.TU.Ap1.1157,0.585411360399763
evm.TU.Ap1.1158,-0.619954181793081
evm.TU.Ap1.1159,-0.00952515795998026
evm.TU.Ap1.116,0.484413293759102
evm.TU.Ap1.1160,-0.606223515246032
evm.TU.Ap1.1161,1.01592742204639
evm.TU.Ap1.1162,0.446315776527869
evm.TU.Ap1.1163,-0.169608444386156
evm.TU.Ap1.1164,-0.157451878806912
evm.TU.Ap1.1165,0.183715237205748
evm.TU.Ap1.1166,0.0395359603441552
evm.TU.Ap1.1167,0.138749379871602
evm.TU.Ap1.1168,0.120039751319181
evm.TU.Ap1.1169,1.38488540916069
evm.TU.Ap1.117,0.00523332150535328
evm.TU.Ap1.1170,0.553849671756504
evm.TU.Ap1.1171,0.206594935202409
evm.TU.Ap1.1172,0.623896814093495
evm.TU.Ap1.1173,0.101582878827829
evm.TU.Ap1.1174,-0.684768055823109
evm.TU.Ap1.1175,-0.211638536382331
evm.TU.Ap1.1176,0.861890711529353
evm.TU.Ap1.1177,-0.517457240530782
evm.TU.Ap1.1178,0.186800504541405
evm.TU.Ap1.1179,NA
evm.TU.Ap1.118,0
evm.TU.Ap1.1180,NA
evm.TU.Ap1.1181,NA
evm.TU.Ap1.1182,NA
evm.TU.Ap1.1183,NA
evm.TU.Ap1.1184,0
evm.TU.Ap1.1185,-0.433948255018419
evm.TU.Ap1.1186,NA
evm.TU.Ap1.1187,NA
evm.TU.Ap1.1188_evm.TU.Ap1.1190,-0.248123436889044
evm.TU.Ap1.1189,NA
evm.TU.Ap1.119,0.186803140075169
evm.TU.Ap1.1191,-0.351583933108069
evm.TU.Ap1.1192,0.142933856480585
evm.TU.Ap1.1193,-0.00553297084710585
evm.TU.Ap1.1194,0.51544343521457
evm.TU.Ap1.1195,-0.585766542859629
evm.TU.Ap1.1196,-0.211643401988254
evm.TU.Ap1.1197,0
evm.TU.Ap1.1198,0.46656009964765
evm.TU.Ap1.1199,-0.792430227790322
evm.TU.Ap1.12,0.0266157847706606
evm.TU.Ap1.120,0.133467336028163
evm.TU.Ap1.1200,0
evm.TU.Ap1.1201,0
evm.TU.Ap1.1202,-0.00554348211943574
evm.TU.Ap1.1203,-0.672278247747199
evm.TU.Ap1.1204,NA
evm.TU.Ap1.1205,-0.390236901363453
evm.TU.Ap1.1206,0
evm.TU.Ap1.1207,NA
evm.TU.Ap1.1208,0
evm.TU.Ap1.1209,NA
evm.TU.Ap1.121,0.839772409870739
evm.TU.Ap1.1210,NA
evm.TU.Ap1.1211,NA
evm.TU.Ap1.1212,NA
evm.TU.Ap1.1213,NA
evm.TU.Ap1.1214,NA
evm.TU.Ap1.1215,NA
evm.TU.Ap1.1216,0.87477803279166
evm.TU.Ap1.1217,0.669962414982045
evm.TU.Ap1.1218,0.231635231705102
evm.TU.Ap1.1219,1.06289726535362
evm.TU.Ap1.122,0.18680601519933
evm.TU.Ap1.1220,-0.124840143650064
evm.TU.Ap1.1221,NA
evm.TU.Ap1.1222,0
evm.TU.Ap1.1223,0.20092971210053
evm.TU.Ap1.1224,-0.21163657479874
evm.TU.Ap1.1225,0.186800744131802
evm.TU.Ap1.1226,NA
evm.TU.Ap1.1227,NA
evm.TU.Ap1.1228,0
evm.TU.Ap1.1229,-0.578831550004073
evm.TU.Ap1.123,-0.600424423792765
evm.TU.Ap1.1230,0.395928234165047
evm.TU.Ap1.1231,0.280886515700525
evm.TU.Ap1.1232,0.337881639574043
evm.TU.Ap1.1233,0.0567895404019913
evm.TU.Ap1.1234,-0.840256316174284
evm.TU.Ap1.1235,-0.197885564394409
evm.TU.Ap1.1236,NA
evm.TU.Ap1.1237,NA
evm.TU.Ap1.1238,-1.50605180703507
evm.TU.Ap1.1239,-1.17101594621891
evm.TU.Ap1.124,-0.624878278728227
evm.TU.Ap1.1240,-0.211641171916095
evm.TU.Ap1.1241,-0.211645799427933
evm.TU.Ap1.1242,-0.197885478298514
evm.TU.Ap1.1243,-0.3752869403026
evm.TU.Ap1.1244,-1.56218038691662
evm.TU.Ap1.1245,-0.352151941379467
evm.TU.Ap1.1246,0.60413253398079
evm.TU.Ap1.1247,0.310708183561733
evm.TU.Ap1.1248,-0.706864129987265
evm.TU.Ap1.1249,-0.381591701098965
evm.TU.Ap1.125,0.338042198996296
evm.TU.Ap1.1250,-0.16373409824913
evm.TU.Ap1.1251,-0.403982725773974
evm.TU.Ap1.1252,-0.0782684218128749
evm.TU.Ap1.1253,-0.723700136001632
evm.TU.Ap1.1254,0.617489489060174
evm.TU.Ap1.1255,-1.12162266586977
evm.TU.Ap1.1256,-0.466496607211922
evm.TU.Ap1.1257,-0.236913920942408
evm.TU.Ap1.1258,-0.663709904552169
evm.TU.Ap1.1259,1.462653255814
evm.TU.Ap1.126,-0.314328342418283
evm.TU.Ap1.1260,0.321012725422656
evm.TU.Ap1.1261,-0.966232089534275
evm.TU.Ap1.1262,-0.772014217364897
evm.TU.Ap1.1263,-0.700572782712084
evm.TU.Ap1.1264,-0.956144014198887
evm.TU.Ap1.1265,-0.40398009024021
evm.TU.Ap1.1266,-0.276059301913841
evm.TU.Ap1.1267,-0.451672247548503
evm.TU.Ap1.1268,0.368803808961102
evm.TU.Ap1.1269,-0.258903499082384
evm.TU.Ap1.127,-0.00554084658567193
evm.TU.Ap1.1270,-0.0055410493164741
evm.TU.Ap1.1271,NA
evm.TU.Ap1.1272,0.199055647710411
evm.TU.Ap1.1273,-0.0397991746790352
evm.TU.Ap1.1274,-0.40398009024021
evm.TU.Ap1.1275,0.617419967801646
evm.TU.Ap1.1276,0.494996534814469
evm.TU.Ap1.1277,0.111764290674755
evm.TU.Ap1.1278,-0.501668996988203
evm.TU.Ap1.1279,-0.472043675623048
evm.TU.Ap1.128,-0.184295282186528
evm.TU.Ap1.1280,0
evm.TU.Ap1.1281,-0.55579551548544
evm.TU.Ap1.1282,0.451676026637798
evm.TU.Ap1.1283,-1.12843163896945
evm.TU.Ap1.1284,0.52331464711704
evm.TU.Ap1.1285,0.0203509697824112
evm.TU.Ap1.1286,-0.59633551877851
evm.TU.Ap1.1287,NA
evm.TU.Ap1.1288,NA
evm.TU.Ap1.1289,NA
evm.TU.Ap1.129,-0.0422145068433219
evm.TU.Ap1.1290,NA
evm.TU.Ap1.1291,0
evm.TU.Ap1.1292,-0.553876305293106
evm.TU.Ap1.1293,-0.0588352030640158
evm.TU.Ap1.1294,-1.24799716802556
evm.TU.Ap1.1295,0.118119018742285
evm.TU.Ap1.1296,0.0733656117240661
evm.TU.Ap1.1297,0
evm.TU.Ap1.1298,0.209059672052253
evm.TU.Ap1.1299,0.162013221331064
evm.TU.Ap1.13,0.906588306421865
evm.TU.Ap1.130,-0.307681659103199
evm.TU.Ap1.1300,1.06449205303233
evm.TU.Ap1.1301,NA
evm.TU.Ap1.1302,-0.384598874679606
evm.TU.Ap1.1303,-0.163044222154439
evm.TU.Ap1.1304,-0.642353299427956
evm.TU.Ap1.1305,-0.689456004802764
evm.TU.Ap1.1306,-0.271822443754181
evm.TU.Ap1.1307,0.602933592077829
evm.TU.Ap1.1308,0.251734359747215
evm.TU.Ap1.1309,0.0666881716710782
evm.TU.Ap1.131,0.173621168176741
evm.TU.Ap1.1310,0.214708816442535
evm.TU.Ap1.1311,-0.510537922138508
evm.TU.Ap1.1312,1.1701164129458
evm.TU.Ap1.1313,-0.33244564843196
evm.TU.Ap1.1314,NA
evm.TU.Ap1.1315,0
evm.TU.Ap1.1316,-0.00553841378270985
evm.TU.Ap1.1317,NA
evm.TU.Ap1.1318,-0.21163566125817
evm.TU.Ap1.1319,NA
evm.TU.Ap1.132,-0.0132807183262739
evm.TU.Ap1.1320,-0.211637891330329
evm.TU.Ap1.1321,NA
evm.TU.Ap1.1322,NA
evm.TU.Ap1.1323,NA
evm.TU.Ap1.1324,-0.00554104931647383
evm.TU.Ap1.1325,0
evm.TU.Ap1.1326,-0.211635661258169
evm.TU.Ap1.1327,0
evm.TU.Ap1.1328,-0.596332637920289
evm.TU.Ap1.1329,NA
evm.TU.Ap1.133,0.515818698227408
evm.TU.Ap1.1330,NA
evm.TU.Ap1.1331,NA
evm.TU.Ap1.1332,0
evm.TU.Ap1.1333,NA
evm.TU.Ap1.1334,-0.197885946371026
evm.TU.Ap1.1335,0
evm.TU.Ap1.1337_evm.TU.Ap1.1336,-0.6765173551648
evm.TU.Ap1.1338,-0.799833498201672
evm.TU.Ap1.1339,-1.11054693572852
evm.TU.Ap1.134,0.557172112120233
evm.TU.Ap1.1340,-0.197886175975916
evm.TU.Ap1.1341,NA
evm.TU.Ap1.1342,NA
evm.TU.Ap1.1343,-0.00554319643137147
evm.TU.Ap1.1344,-0.0516175567392625
evm.TU.Ap1.1345,-0.21163566125817
evm.TU.Ap1.1346,0.18680601519933
evm.TU.Ap1.1347,0.0530467101215308
evm.TU.Ap1.1348,-0.211638333651529
evm.TU.Ap1.1349,0
evm.TU.Ap1.135,0.203591880894677
evm.TU.Ap1.1350,NA
evm.TU.Ap1.1351,-1.2867145704252
evm.TU.Ap1.1352,0
evm.TU.Ap1.1353,-0.211630501049605
evm.TU.Ap1.1354,NA
evm.TU.Ap1.1355,0.18680601519933
evm.TU.Ap1.1356,-0.684106674691921
evm.TU.Ap1.1357,NA
evm.TU.Ap1.1358,NA
evm.TU.Ap1.1359,0
evm.TU.Ap1.136,-0.408996890461403
evm.TU.Ap1.1360,0
evm.TU.Ap1.1361,-0.378157807848436
evm.TU.Ap1.1362,NA
evm.TU.Ap1.1363,-0.242933062844576
evm.TU.Ap1.1364,-0.160117050050677
evm.TU.Ap1.1365,-0.159447629742955
evm.TU.Ap1.1366,-0.246369593127215
evm.TU.Ap1.1367,0.10899469985393
evm.TU.Ap1.1368,-0.00554104931647381
evm.TU.Ap1.1369,NA
evm.TU.Ap1.137,0.356939024393025
evm.TU.Ap1.1370,-0.548527751922058
evm.TU.Ap1.1371,0.445356887842817
evm.TU.Ap1.1372,0.373841266684258
evm.TU.Ap1.1373,0.225023717971149
evm.TU.Ap1.1374,-0.393078613011639
evm.TU.Ap1.1375,0.189703569936484
evm.TU.Ap1.1376,-0.542610121064922
evm.TU.Ap1.1377,-0.855567268703898
evm.TU.Ap1.1378,0.293569059776224
evm.TU.Ap1.1379,-0.131235773110368
evm.TU.Ap1.138,0.0101338177767714
evm.TU.Ap1.1380,-0.189993485424616
evm.TU.Ap1.1381,-0.512312870180159
evm.TU.Ap1.1382,0.472892170189057
evm.TU.Ap1.1383,0.720076517748067
evm.TU.Ap1.1384,0.381016507544769
evm.TU.Ap1.1385,0.97753329025121
evm.TU.Ap1.1386,0.305883262587395
evm.TU.Ap1.1387,0.263516299683715
evm.TU.Ap1.1388,-0.627085288750737
evm.TU.Ap1.1389,-0.537545168163069
evm.TU.Ap1.139,-0.0323879246400011
evm.TU.Ap1.1390,-1.58836421610645
evm.TU.Ap1.1391,-0.135818284429112
evm.TU.Ap1.1392,0.0027336890323282
evm.TU.Ap1.1393,-0.501983698448098
evm.TU.Ap1.1394,-0.380414611702851
evm.TU.Ap1.1395,-0.197884440789606
evm.TU.Ap1.1396,-0.261193553427118
evm.TU.Ap1.1397,-0.0696921316412263
evm.TU.Ap1.1398,NA
evm.TU.Ap1.1399,-1.40789595877411
evm.TU.Ap1.14,0.313555983854066
evm.TU.Ap1.140,0.0703825566883634
evm.TU.Ap1.1400,-0.596334333800824
evm.TU.Ap1.1401,0.0111978677971255
evm.TU.Ap1.1402,-0.00554420422651344
evm.TU.Ap1.1403,-1.18653294791558
evm.TU.Ap1.1404,-0.403977454706446
evm.TU.Ap1.1405,0.322902177418952
evm.TU.Ap1.1406,0.586125595197535
evm.TU.Ap1.1407,-0.599009554298465
evm.TU.Ap1.1408,0.324638089058648
evm.TU.Ap1.1409,-0.90695350626857
evm.TU.Ap1.141,NA
evm.TU.Ap1.1410,0.443486548652047
evm.TU.Ap1.1411,0.112418324251427
evm.TU.Ap1.1412,0.186798108598038
evm.TU.Ap1.1413,1.86383426913962
evm.TU.Ap1.1414,-0.536731077022649
evm.TU.Ap1.1415,0.085032720235151
evm.TU.Ap1.1416,-0.0062195845771604
evm.TU.Ap1.1417,-0.161904880799576
evm.TU.Ap1.1418,NA
evm.TU.Ap1.1419,0.208875002979217
evm.TU.Ap1.142,-0.0926804225911916
evm.TU.Ap1.1420,0.460873307505404
evm.TU.Ap1.1421,-0.359649365129826
evm.TU.Ap1.1422,NA
evm.TU.Ap1.1423,NA
evm.TU.Ap1.1424,NA
evm.TU.Ap1.1425,NA
evm.TU.Ap1.1426,NA
evm.TU.Ap1.1427,NA
evm.TU.Ap1.1428,-0.547786682125691
