genes,signedlogP
Ala_4212,NA
Ala_4213,NA
Ala_4215,NA
Ala_4216,NA
Ala_4218,NA
Ala_4219,NA
Ala_4221,NA
Ala_4222,NA
Ala_4238,NA
Ala_4239,NA
Ala_4240,NA
Ala_4241,NA
Ala_4242,NA
Ala_4243,NA
Ala_4258,NA
Ala_4262,NA
Ala_4265,NA
Ala_434,NA
Ala_4415,NA
Ala_4416,NA
Ala_4417,NA
Ala_4420,NA
Ala_4509,NA
Ala_4510,NA
Ala_4511,0.124970851910788
Ala_4526,NA
Ala_4527,NA
Ala_4528,NA
Ala_4529,NA
Ala_4530,NA
Ala_4531,NA
Ala_4532,NA
Ala_4533,NA
Ala_4534,NA
Ala_4535,NA
Ala_4536,NA
Ala_4537,NA
Ala_4546,NA
Ala_4547,NA
Ala_4548,NA
Ala_4550,NA
Ala_4557,NA
Ala_4559,NA
Ala_4563,NA
Ala_4564,NA
Ala_4565,NA
Ala_4567,NA
Ala_4568,NA
Ala_4571,NA
Ala_4572,NA
Ala_4573,NA
Ala_4574,NA
Ala_4576,NA
Ala_4578,NA
Ala_4593,NA
Ala_4594,0.371026581798122
Ala_4597,NA
Ala_4652,NA
Ala_4653,NA
Ala_527,NA
Ala_573,NA
Ala_61,NA
Ala_62,NA
Ala_63,NA
Ala_736,NA
Ala_833,NA
Ala_91,NA
Ala_915,NA
Ala_92,NA
Ala_93,NA
Ala_94,NA
Ala_95,NA
Ala_96,NA
Ala_996,NA
Arg_1309,NA
Arg_1310,NA
Arg_1347,NA
Arg_1348,NA
Arg_141,NA
Arg_1473,NA
Arg_1580,NA
Arg_1629,NA
Arg_2027,NA
Arg_2030,NA
Arg_2303,NA
Arg_2385,NA
Arg_2471,NA
Arg_2688,NA
Arg_347,NA
Arg_348,NA
Arg_349,NA
Arg_350,NA
Arg_351,NA
Arg_352,NA
Arg_353,NA
Arg_354,NA
Arg_355,NA
Arg_356,NA
Arg_357,NA
Arg_364,NA
Arg_3932,NA
Arg_4544,NA
Arg_455,NA
Arg_459,NA
Arg_460,NA
Arg_521,NA
Arg_522,NA
Arg_59,NA
Asn_1215,NA
Asn_1220,NA
Asn_1327,NA
Asn_1328,NA
Asn_1330,NA
Asn_1335,NA
Asn_1578,NA
Asn_1616,NA
Asn_1685,NA
Asn_1943,NA
Asn_1947,NA
Asn_2094,NA
Asn_2217,NA
Asn_2675,0.124970851910788
Asn_3075,NA
Asn_3130,NA
Asn_3307,NA
Asn_3412,0.522326483371344
Asn_3748,NA
Asn_3795,NA
Asn_4198,NA
Asn_4203,NA
Asn_4208,NA
Asn_4520,NA
Asn_4521,NA
Asn_4560,NA
Asn_4579,NA
Asn_4582,NA
Asn_4590,NA
Asn_891,NA
Asn_903,NA
Asn_926,NA
Asn_929,NA
Asn_935,NA
Asp_1019,NA
Asp_1022,0.124970851910788
Asp_1190,NA
Asp_1303,0.513576297537898
Asp_1308,NA
Asp_1361,NA
Asp_1362,NA
Asp_1363,NA
Asp_1364,NA
Asp_1365,NA
Asp_1435,NA
Asp_1436,NA
Asp_1437,NA
Asp_1495,NA
Asp_1530,NA
Asp_159,NA
Asp_1697,NA
Asp_1850,NA
Asp_1888,NA
Asp_2110,NA
Asp_2297,NA
Asp_2308,NA
Asp_2310,NA
Asp_2432,NA
Asp_2561,0.371026581798122
Asp_2768,NA
Asp_309,NA
Asp_3324,NA
Asp_3687,NA
Asp_3797,NA
Asp_3874,0.371026581798122
Asp_3893,NA
Asp_3894,NA
Asp_4296,NA
Asp_4380,0.250770980155501
Asp_4471,NA
Asp_537,NA
Asp_640,NA
Asp_641,NA
Asp_642,NA
Asp_932,NA
Cys_1109,NA
Cys_124,NA
Cys_2326,NA
Cys_2343,NA
Cys_2347,NA
Cys_2363,NA
Cys_425,0.124970851910788
Cys_761,NA
Cys_781,NA
evm.TU.Ap1.1,-0.306247100783719
evm.TU.Ap1.10,0.205632864400785
evm.TU.Ap1.100,NA
evm.TU.Ap1.1000,-0.475719048839363
evm.TU.Ap1.1001,-0.217069788533526
evm.TU.Ap1.1002,0.124970851910788
evm.TU.Ap1.1003,0.124970851910788
evm.TU.Ap1.1004,NA
evm.TU.Ap1.1005,NA
evm.TU.Ap1.1006,-1.02355479680709
evm.TU.Ap1.1007,0.2160256037568
evm.TU.Ap1.1008,NA
evm.TU.Ap1.1009,NA
evm.TU.Ap1.101,0.0247278799713975
evm.TU.Ap1.1010,0.672414876101361
evm.TU.Ap1.1011,0.124970851910788
evm.TU.Ap1.1012,0.0247278799713972
evm.TU.Ap1.1013,NA
evm.TU.Ap1.1014,-0.701421131158399
evm.TU.Ap1.1015,-1.50350114350024
evm.TU.Ap1.1016,0.124970851910788
evm.TU.Ap1.1017,-0.877437641540859
evm.TU.Ap1.1018,0.110929246406742
evm.TU.Ap1.1019,-0.432532419006917
evm.TU.Ap1.102,0.250770980155501
evm.TU.Ap1.1020,1.19977314879364
evm.TU.Ap1.1021,1.80580843341191
evm.TU.Ap1.1022,-1.4139048334968
evm.TU.Ap1.1023,-0.964309843393268
evm.TU.Ap1.1024,NA
evm.TU.Ap1.1025,-0.938485571839466
evm.TU.Ap1.1026,0.0940419999224147
evm.TU.Ap1.1027,0.223469542637343
evm.TU.Ap1.1028,-1.26172522861643
evm.TU.Ap1.1029,0.0247278799713973
evm.TU.Ap1.103,0.124970851910788
evm.TU.Ap1.1030,0.0247278799713973
evm.TU.Ap1.1031,NA
evm.TU.Ap1.1032,0.2507709801555
evm.TU.Ap1.1033,-0.160546077679185
evm.TU.Ap1.1034,5.68521838013038
evm.TU.Ap1.1035,0.947320166078955
evm.TU.Ap1.1036,0.450576695615365
evm.TU.Ap1.1037,NA
evm.TU.Ap1.1038,0.124970851910788
evm.TU.Ap1.1039,0.372010766685876
evm.TU.Ap1.104,NA
evm.TU.Ap1.1040_evm.TU.Ap1.1041,1.02601968929074
evm.TU.Ap1.1043_evm.TU.Ap1.1042,-0.492476677108439
evm.TU.Ap1.1044,0.908691142139197
evm.TU.Ap1.1045,0.517986427113261
evm.TU.Ap1.1046,-0.582133736153205
evm.TU.Ap1.1047,-0.164569705084945
evm.TU.Ap1.1048,0.2507709801555
evm.TU.Ap1.1049,-0.469814525034935
evm.TU.Ap1.105,-1.24511765288886
evm.TU.Ap1.1050,10.0152469948375
evm.TU.Ap1.1051,0.841089228446021
evm.TU.Ap1.1052,0.963941447073584
evm.TU.Ap1.1053,0.124970851910788
evm.TU.Ap1.1054,-2.36965162979717
evm.TU.Ap1.1055,0.792747990969845
evm.TU.Ap1.1056,0.739987036320983
evm.TU.Ap1.1057,0.371026581798122
evm.TU.Ap1.1058,-0.0142111907646616
evm.TU.Ap1.1059,0.100359589882335
evm.TU.Ap1.106,2.58345762370721
evm.TU.Ap1.1060,NA
evm.TU.Ap1.1061,-0.278421271460758
evm.TU.Ap1.1062,-3.19351775402892
evm.TU.Ap1.1063,2.29776843267347
evm.TU.Ap1.1064,-0.509698904732198
evm.TU.Ap1.1065,NA
evm.TU.Ap1.1066,1.05927295894966
evm.TU.Ap1.1067,-0.771869917116972
evm.TU.Ap1.1068,-0.131195593540141
evm.TU.Ap1.1069,0.881933706344488
evm.TU.Ap1.107,3.26223044924299
evm.TU.Ap1.1070,0.0979364712531307
evm.TU.Ap1.1071,-0.097727865787628
evm.TU.Ap1.1072,-0.124340301031092
evm.TU.Ap1.1073,0.640971349496306
evm.TU.Ap1.1074,-1.35440250920178
evm.TU.Ap1.1075,-0.359321244760986
evm.TU.Ap1.1076,NA
evm.TU.Ap1.1077,-0.207438658257129
evm.TU.Ap1.1078,-1.35855008483454
evm.TU.Ap1.1079,0.219003039336604
evm.TU.Ap1.108,0.618935673799441
evm.TU.Ap1.1080,-1.10220896475899
evm.TU.Ap1.1081,NA
evm.TU.Ap1.1082,0.124970851910788
evm.TU.Ap1.1083,0.371026581798122
evm.TU.Ap1.1084,NA
evm.TU.Ap1.1085,-0.228163990756279
evm.TU.Ap1.1086,-0.287871479226279
evm.TU.Ap1.1087,-0.0340034797352951
evm.TU.Ap1.1088,NA
evm.TU.Ap1.1089,NA
evm.TU.Ap1.109,0.561961495581851
evm.TU.Ap1.1090,0.0610184186043366
evm.TU.Ap1.1091,0.432221819711603
evm.TU.Ap1.1092,-0.11081969038197
evm.TU.Ap1.1093,-0.0198941215531344
evm.TU.Ap1.1094,0.15816495249678
evm.TU.Ap1.1095,-0.0340787029789528
evm.TU.Ap1.1096,0.055745640896093
evm.TU.Ap1.1097,NA
evm.TU.Ap1.1098,0.124970851910788
evm.TU.Ap1.1099,-2.56116578525829
evm.TU.Ap1.11,0.124970851910788
evm.TU.Ap1.110,NA
evm.TU.Ap1.1100,0.139784904146313
evm.TU.Ap1.1101,NA
evm.TU.Ap1.1102,NA
evm.TU.Ap1.1103,-0.90266134337714
evm.TU.Ap1.1104,0.0103128287733665
evm.TU.Ap1.1105,-0.297716613914058
evm.TU.Ap1.1106,NA
evm.TU.Ap1.1107,NA
evm.TU.Ap1.1108,0.868960526370568
evm.TU.Ap1.1109,-0.612010314151829
evm.TU.Ap1.111,NA
evm.TU.Ap1.1110,-2.34864306645084
evm.TU.Ap1.1111,0.745678899412923
evm.TU.Ap1.1112,-1.08856015272039
evm.TU.Ap1.1113,-0.0852481074768198
evm.TU.Ap1.1114,-0.396434160121243
evm.TU.Ap1.1115,-0.391811516125829
evm.TU.Ap1.1116,0.424915483815026
evm.TU.Ap1.1117,-0.23124877837803
evm.TU.Ap1.1118,-1.05218543046984
evm.TU.Ap1.1119,0.424293288725924
evm.TU.Ap1.112,NA
evm.TU.Ap1.1120,0.0247278799713973
evm.TU.Ap1.1121,-2.08695985154872
evm.TU.Ap1.1122,0.0247278799713973
evm.TU.Ap1.1123,0.152625769611062
evm.TU.Ap1.1124,0.00459128529301885
evm.TU.Ap1.1125,NA
evm.TU.Ap1.1126,NA
evm.TU.Ap1.1127,NA
evm.TU.Ap1.1128,0.980001857390958
evm.TU.Ap1.1129,NA
evm.TU.Ap1.113,NA
evm.TU.Ap1.1130,NA
evm.TU.Ap1.1131,NA
evm.TU.Ap1.1132,-0.145894314089062
evm.TU.Ap1.1133,-1.31206417529452
evm.TU.Ap1.1134,4.05762724421925
evm.TU.Ap1.1135,0.910812663082291
evm.TU.Ap1.1136,-0.722177764393408
evm.TU.Ap1.1137,NA
evm.TU.Ap1.1138,NA
evm.TU.Ap1.1139,NA
evm.TU.Ap1.114,1.45592227511028
evm.TU.Ap1.1140,NA
evm.TU.Ap1.1141,0.0532278818905059
evm.TU.Ap1.1142,-0.791233240325177
evm.TU.Ap1.1143,0.291073567473688
evm.TU.Ap1.1144,0.177868691660386
evm.TU.Ap1.1145,0.522623411286906
evm.TU.Ap1.1146,NA
evm.TU.Ap1.1147,NA
evm.TU.Ap1.1148,0.167576277636127
evm.TU.Ap1.1149,NA
evm.TU.Ap1.115,-0.814831216442259
evm.TU.Ap1.1150,NA
evm.TU.Ap1.1151,NA
evm.TU.Ap1.1152,NA
evm.TU.Ap1.1153,0.34340487851591
evm.TU.Ap1.1154,NA
evm.TU.Ap1.1155,-0.119211661839739
evm.TU.Ap1.1156,0.371026581798122
evm.TU.Ap1.1157,0.427997377855728
evm.TU.Ap1.1158,-0.873626561718215
evm.TU.Ap1.1159,-0.450953317436037
evm.TU.Ap1.116,0.133964144695008
evm.TU.Ap1.1160,1.0758968256256
evm.TU.Ap1.1161,1.06740459867356
evm.TU.Ap1.1162,0.392745234975044
evm.TU.Ap1.1163,-0.116756402057553
evm.TU.Ap1.1164,0.0655461593156435
evm.TU.Ap1.1165,0.370655591953817
evm.TU.Ap1.1166,-1.10726709794732
evm.TU.Ap1.1167,2.03961632102583
evm.TU.Ap1.1168,1.8280795687077
evm.TU.Ap1.1169,NA
evm.TU.Ap1.117,0.255839996766791
evm.TU.Ap1.1170,-1.82809392312292
evm.TU.Ap1.1171,0.513146850288961
evm.TU.Ap1.1172,0.0950489690683554
evm.TU.Ap1.1173,0.456834211441846
evm.TU.Ap1.1174,2.84426685519898
evm.TU.Ap1.1175,0.371026581798122
evm.TU.Ap1.1176,0.124970851910788
evm.TU.Ap1.1177,0.292591668297026
evm.TU.Ap1.1178,NA
evm.TU.Ap1.1179,NA
evm.TU.Ap1.118,NA
evm.TU.Ap1.1180,NA
evm.TU.Ap1.1181,NA
evm.TU.Ap1.1182,NA
evm.TU.Ap1.1183,NA
evm.TU.Ap1.1184,NA
evm.TU.Ap1.1185,-0.0811380383879086
evm.TU.Ap1.1186,NA
evm.TU.Ap1.1187,NA
evm.TU.Ap1.1188_evm.TU.Ap1.1190,0.534416622543887
evm.TU.Ap1.1189,NA
evm.TU.Ap1.119,NA
evm.TU.Ap1.1191,1.61451181482863
evm.TU.Ap1.1192,-0.240472023387774
evm.TU.Ap1.1193,0.371026581798122
evm.TU.Ap1.1194,-0.118218628167655
evm.TU.Ap1.1195,0.710124554694754
evm.TU.Ap1.1196,0.124970851910788
evm.TU.Ap1.1197,NA
evm.TU.Ap1.1198,0.477601862805235
evm.TU.Ap1.1199,0.782656232019579
evm.TU.Ap1.12,-0.243826283717317
evm.TU.Ap1.120,-4.04045749682507
evm.TU.Ap1.1200,NA
evm.TU.Ap1.1201,NA
evm.TU.Ap1.1202,0.124970851910788
evm.TU.Ap1.1203,0.481114837443017
evm.TU.Ap1.1204,NA
evm.TU.Ap1.1205,0.477067052776341
evm.TU.Ap1.1206,NA
evm.TU.Ap1.1207,NA
evm.TU.Ap1.1208,NA
evm.TU.Ap1.1209,NA
evm.TU.Ap1.121,1.02993147024732
evm.TU.Ap1.1210,NA
evm.TU.Ap1.1211,NA
evm.TU.Ap1.1212,NA
evm.TU.Ap1.1213,NA
evm.TU.Ap1.1214,NA
evm.TU.Ap1.1215,NA
evm.TU.Ap1.1216,0.124970851910788
evm.TU.Ap1.1217,-0.072778403404854
evm.TU.Ap1.1218,0.0247278799713973
evm.TU.Ap1.1219,0.452960521194368
evm.TU.Ap1.122,NA
evm.TU.Ap1.1220,0.282325964306803
evm.TU.Ap1.1221,NA
evm.TU.Ap1.1222,NA
evm.TU.Ap1.1223,-0.0577031295016025
evm.TU.Ap1.1224,0.371026581798122
evm.TU.Ap1.1225,NA
evm.TU.Ap1.1226,NA
evm.TU.Ap1.1227,NA
evm.TU.Ap1.1228,NA
evm.TU.Ap1.1229,0.320437479763078
evm.TU.Ap1.123,-0.105247211267699
evm.TU.Ap1.1230,NA
evm.TU.Ap1.1231,-1.00142850488166
evm.TU.Ap1.1232,0.545941933970979
evm.TU.Ap1.1233,0.825859961465986
evm.TU.Ap1.1234,0.505740729711927
evm.TU.Ap1.1235,0.0247278799713973
evm.TU.Ap1.1236,NA
evm.TU.Ap1.1237,NA
evm.TU.Ap1.1238,-0.556736554657269
evm.TU.Ap1.1239,0.519070995470429
evm.TU.Ap1.124,-1.0085993725442
evm.TU.Ap1.1240,0.124970851910788
evm.TU.Ap1.1241,0.124970851910788
evm.TU.Ap1.1242,0.0247278799713973
evm.TU.Ap1.1243,0.0543801205573949
evm.TU.Ap1.1244,-0.270178914122582
evm.TU.Ap1.1245,-2.55305649541953
evm.TU.Ap1.1246,-0.0280049882266985
evm.TU.Ap1.1247,-1.61279205155636
evm.TU.Ap1.1248,0.44549298445238
evm.TU.Ap1.1249,-0.211398400433076
evm.TU.Ap1.125,-0.91733511208643
evm.TU.Ap1.1250,0.03951376196226
evm.TU.Ap1.1251,0.0247278799713972
evm.TU.Ap1.1252,0.248031563470233
evm.TU.Ap1.1253,-0.287519321125646
evm.TU.Ap1.1254,NA
evm.TU.Ap1.1255,-0.32589323372571
evm.TU.Ap1.1256,-0.295248723524956
evm.TU.Ap1.1257,0.431008072390617
evm.TU.Ap1.1258,1.92747955095918
evm.TU.Ap1.1259,-0.259393241615003
evm.TU.Ap1.126,-0.157833158370004
evm.TU.Ap1.1260,-0.386937128956668
evm.TU.Ap1.1261,-0.222433369563116
evm.TU.Ap1.1262,1.05052240644905
evm.TU.Ap1.1263,-1.60978865107699
evm.TU.Ap1.1264,0.820072321243768
evm.TU.Ap1.1265,0.0247278799713975
evm.TU.Ap1.1266,-0.871749923483044
evm.TU.Ap1.1267,1.9061924795031
evm.TU.Ap1.1268,-1.03149582139809
evm.TU.Ap1.1269,-3.13388646961711
evm.TU.Ap1.127,0.124970851910788
evm.TU.Ap1.1270,0.371026581798122
evm.TU.Ap1.1271,NA
evm.TU.Ap1.1272,-1.50418683350839
evm.TU.Ap1.1273,-1.29429878833216
evm.TU.Ap1.1274,0.2507709801555
evm.TU.Ap1.1275,NA
evm.TU.Ap1.1276,0.158204134635612
evm.TU.Ap1.1277,-0.554488780098396
evm.TU.Ap1.1278,0.429688029053523
evm.TU.Ap1.1279,-0.708217867534601
evm.TU.Ap1.128,1.78577379490892
evm.TU.Ap1.1280,NA
evm.TU.Ap1.1281,-0.137080885822742
evm.TU.Ap1.1282,-2.03955428752049
evm.TU.Ap1.1283,1.3250229271223
evm.TU.Ap1.1284,-1.23659389733481
evm.TU.Ap1.1285,-1.83657737069958
evm.TU.Ap1.1286,-0.0727784034048541
evm.TU.Ap1.1287,NA
evm.TU.Ap1.1288,NA
evm.TU.Ap1.1289,NA
evm.TU.Ap1.129,1.63405808610569
evm.TU.Ap1.1290,NA
evm.TU.Ap1.1291,NA
evm.TU.Ap1.1292,-1.32290778992332
evm.TU.Ap1.1293,1.40039320618507
evm.TU.Ap1.1294,-3.34577423838679
evm.TU.Ap1.1295,0.340376926850902
evm.TU.Ap1.1296,-0.47537909555237
evm.TU.Ap1.1297,NA
evm.TU.Ap1.1298,-0.000494217641619656
evm.TU.Ap1.1299,-2.69567072248835
evm.TU.Ap1.13,0.778073900263733
evm.TU.Ap1.130,0.512570341914124
evm.TU.Ap1.1300,0.687699215148048
evm.TU.Ap1.1301,NA
evm.TU.Ap1.1302,-0.241564149753383
evm.TU.Ap1.1303,0.0395905246485016
evm.TU.Ap1.1304,-0.687499448880361
evm.TU.Ap1.1305,-0.883335749901945
evm.TU.Ap1.1306,2.83698719230599
evm.TU.Ap1.1307,1.60084230358557
evm.TU.Ap1.1308,-0.239397040339976
evm.TU.Ap1.1309,-0.733966869566315
evm.TU.Ap1.131,0.704342090285167
evm.TU.Ap1.1310,0.749529108462914
evm.TU.Ap1.1311,0.389214976820209
evm.TU.Ap1.1312,0.59442483285722
evm.TU.Ap1.1313,0.847174624959103
evm.TU.Ap1.1314,NA
evm.TU.Ap1.1315,NA
evm.TU.Ap1.1316,0.124970851910788
evm.TU.Ap1.1317,NA
evm.TU.Ap1.1318,0.371026581798122
evm.TU.Ap1.1319,NA
evm.TU.Ap1.132,0.942152535914444
evm.TU.Ap1.1320,0.124970851910788
evm.TU.Ap1.1321,NA
evm.TU.Ap1.1322,NA
evm.TU.Ap1.1323,NA
evm.TU.Ap1.1324,0.371026581798122
evm.TU.Ap1.1325,NA
evm.TU.Ap1.1326,0.371026581798122
evm.TU.Ap1.1327,NA
evm.TU.Ap1.1328,-0.072778403404854
evm.TU.Ap1.1329,NA
evm.TU.Ap1.133,1.29900447719597
evm.TU.Ap1.1330,NA
evm.TU.Ap1.1331,NA
evm.TU.Ap1.1332,NA
evm.TU.Ap1.1333,NA
evm.TU.Ap1.1334,0.250770980155501
evm.TU.Ap1.1335,NA
evm.TU.Ap1.1337_evm.TU.Ap1.1336,-0.327479782791419
evm.TU.Ap1.1338,-0.170624837995196
evm.TU.Ap1.1339,-0.314515740960517
evm.TU.Ap1.134,-1.73680148883131
evm.TU.Ap1.1340,0.0247278799713973
evm.TU.Ap1.1341,NA
evm.TU.Ap1.1342,NA
evm.TU.Ap1.1343,0.124970851910788
evm.TU.Ap1.1344,-0.333561209522923
evm.TU.Ap1.1345,0.124970851910788
evm.TU.Ap1.1346,NA
evm.TU.Ap1.1347,-0.0828929768144662
evm.TU.Ap1.1348,0.124970851910788
evm.TU.Ap1.1349,NA
evm.TU.Ap1.135,0.371026581798122
evm.TU.Ap1.1350,NA
evm.TU.Ap1.1351,-0.0167678751036738
evm.TU.Ap1.1352,NA
evm.TU.Ap1.1353,0.124970851910788
evm.TU.Ap1.1354,NA
evm.TU.Ap1.1355,NA
evm.TU.Ap1.1356,-0.237551270461648
evm.TU.Ap1.1357,NA
evm.TU.Ap1.1358,NA
evm.TU.Ap1.1359,NA
evm.TU.Ap1.136,-0.380459429387129
evm.TU.Ap1.1360,NA
evm.TU.Ap1.1361,-0.826670220064494
evm.TU.Ap1.1362,NA
evm.TU.Ap1.1363,-2.44586430642435
evm.TU.Ap1.1364,0.11061583534319
evm.TU.Ap1.1365,0.441822577602558
evm.TU.Ap1.1366,-0.361847982920126
evm.TU.Ap1.1367,0.125645818446483
evm.TU.Ap1.1368,0.124970851910788
evm.TU.Ap1.1369,NA
evm.TU.Ap1.137,0.924610500562299
evm.TU.Ap1.1370,0.0591386507065767
evm.TU.Ap1.1371,0.70407570867883
evm.TU.Ap1.1372,-0.817337359668192
evm.TU.Ap1.1373,0.623708175701567
evm.TU.Ap1.1374,0.159715495230368
evm.TU.Ap1.1375,-0.144599229013166
evm.TU.Ap1.1376,-0.136533187219374
evm.TU.Ap1.1377,-1.48258821524293
evm.TU.Ap1.1378,3.55822847422158
evm.TU.Ap1.1379,-0.160410453491093
evm.TU.Ap1.138,0.543521383054164
evm.TU.Ap1.1380,-1.34543276175813
evm.TU.Ap1.1381,-2.95761100961322
evm.TU.Ap1.1382,-0.319964145424311
evm.TU.Ap1.1383,-0.340499826134559
evm.TU.Ap1.1384,0.643364020198772
evm.TU.Ap1.1385,-0.500346863992096
evm.TU.Ap1.1386,0.680860750356328
evm.TU.Ap1.1387,0.243541668051995
evm.TU.Ap1.1388,1.60234080349268
evm.TU.Ap1.1389,-0.0904963497452946
evm.TU.Ap1.139,0.0996279687993502
evm.TU.Ap1.1390,-1.05338337770469
evm.TU.Ap1.1391,0.733062392165804
evm.TU.Ap1.1392,-0.303686720989947
evm.TU.Ap1.1393,-0.0273919747421557
evm.TU.Ap1.1394,-0.628657745226947
evm.TU.Ap1.1395,0.0247278799713973
evm.TU.Ap1.1396,-1.13807342454953
evm.TU.Ap1.1397,-0.463286582237664
evm.TU.Ap1.1398,NA
evm.TU.Ap1.1399,-0.252524083065147
evm.TU.Ap1.14,-0.29080290151992
evm.TU.Ap1.140,-0.0788115766687149
evm.TU.Ap1.1400,0.165941272273396
evm.TU.Ap1.1401,0.0247278799713973
evm.TU.Ap1.1402,0.124970851910788
evm.TU.Ap1.1403,0.0795051802718629
evm.TU.Ap1.1404,0.0247278799713975
evm.TU.Ap1.1405,-0.335544508079994
evm.TU.Ap1.1406,NA
evm.TU.Ap1.1407,-3.08951862770164
evm.TU.Ap1.1408,-0.155144650349132
evm.TU.Ap1.1409,0.232704569691264
evm.TU.Ap1.141,NA
evm.TU.Ap1.1410,-0.550400053781352
evm.TU.Ap1.1411,-0.0624246665791886
evm.TU.Ap1.1412,NA
evm.TU.Ap1.1413,-0.210934033157424
evm.TU.Ap1.1414,-1.05638401589038
evm.TU.Ap1.1415,-0.609172259366108
evm.TU.Ap1.1416,0.750175914191427
evm.TU.Ap1.1417,0.0574277511697231
evm.TU.Ap1.1418,NA
evm.TU.Ap1.1419,-0.237205104780087
evm.TU.Ap1.142,-0.891026131024672
evm.TU.Ap1.1420,0.0607734043861015
evm.TU.Ap1.1421,2.45010436930484
evm.TU.Ap1.1422,NA
evm.TU.Ap1.1423,NA
evm.TU.Ap1.1424,NA
evm.TU.Ap1.1425,NA
evm.TU.Ap1.1426,NA
evm.TU.Ap1.1427,NA
evm.TU.Ap1.1428,0.279325482745379
evm.TU.Ap1.1429,0.124970851910788
evm.TU.Ap1.143,0.290354548583763
evm.TU.Ap1.1430,-0.121277160100731
evm.TU.Ap1.1431,NA
evm.TU.Ap1.1432,NA
evm.TU.Ap1.1433,0.371026581798122
evm.TU.Ap1.1434,NA
evm.TU.Ap1.1435,NA
evm.TU.Ap1.1436,-0.0277815962868726
